code3,typeName,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2030,2050
ALB,Cultivation of Organic Soils Emissions (CO2eq) in Gigagrams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.545,16.545,16.545,16.545,16.545,16.545,16.545,16.545,16.545,16.545,16.545,16.545,16.545,16.545,16.545,16.545,16.545,16.545,16.545,16.545,16.545,16.545,16.545,16.545,16.545,16.545,16.545
ALB,Burning - Crop residues Emissions (CO2eq) in Gigagrams,16.7578,15.1245,15.5178,15.6034,15.8377,15.3544,15.6901,13.8546,13.1267,13.4448,13.5314,14.2845,13.698,13.5005,13.0301,13.1869,13.1085,13.1869,14.0179,14.5291,13.9395,13.4738,12.8654,12.856,12.2657,12.4068,12.4856,12.0313,11.6945,11.3562,8.013,8.1675,10.5628,11.1844,9.828,9.0585,9.065,8.8563,7.7302,7.6675,7.2128,6.849,6.6365,6.2218,6.3756,6.1913,5.8264,6.457,6.3284,6.5668,6.9688,6.4837,6.4272,6.5071,5.9864,6.0413
ALB,Burning - Savanna Emissions (CO2eq) in Gigagrams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1338,2.1338,2.1338,2.1338,2.1338,2.1338,1.2723,2.0053,1.9478,4.0622,3.4489,0.8392,0,1.9787,0,0.4417,0.2527,13.4143,0.6963,0.1934,0.1836,3.6562,6.0524,0.0968,0,2.1338,2.1338
ALB,Agriculture total Emissions (CO2eq) in Gigagrams,1903.8378,1917.3888,1902.0917,1916.3518,2047.6231,2049.5924,2098.4231,2020.3452,1964.7903,1993.4384,1974.3186,1946.1664,2008.9932,2069.3535,2091.2898,2269.3007,2381.6046,2651.0141,2738.5782,2800.5386,2875.7789,2890.4088,2950.201,2967.1689,2871.8814,2974.3774,3097.628,3254.0757,3382.547,3251.4396,2922.1154,2855.588,3052.448,3846.9802,3900.9556,3604.4011,3362.2026,3283.9877,3285.4181,3382.2126,3288.356,3378.6996,3417.9462,3290.4011,3276.5154,3183.3813,3041.6447,2858.6862,2769.2976,2788.2319,2791.1646,2828.3508,2790.4441,2829.8148,3459.2423,3469.9625
ALB,Agricultural Soils Emissions (CO2eq) in Gigagrams,565.3851,567.2126,556.9803,563.5015,596.7381,603.5238,634.8387,661.4225,623.2557,658.9352,690.1414,687.8338,718.2419,730.2138,734.0357,828.6286,875.0339,1040.2841,1055.8968,1067.9062,1103.9762,1104.3368,1137.7672,1153.1611,1131.9884,1158.3498,1143.7269,1199.9291,1290.7689,1238.6933,885.4355,833.77,897.7177,1091.2513,1082.2048,934.8756,880.021,929.6096,868.1262,921.3409,885.7653,1037.3605,1046.8729,1006.8115,1008.6502,956.8753,933.6088,892.9666,899.2595,907.6539,921.1571,924.5951,903.3739,918.6795,1134.7429,1156.2674
DZA,Enteric Fermentation Emissions (CO2eq) in Gigagrams,1512.924,1419.684,1229.529,1323.4368,1573.404,1649.508,1945.3203,2032.7859,2091.0889,2122.3604,2171.7362,2209.1299,2168.8806,2251.5097,2397.7647,2339.4634,2562.7461,2697.4683,2967.7328,3103.8237,3156.4533,3300.5356,3429.2097,3299.966,3286.7247,3223.1537,3335.3582,3326.501,3429.3325,3465.1252,3303.8267,3463.2973,3524.6447,3393.6143,3382.1308,3398.7175,3429.1727,3532.3991,3766.8217,3779.4658,3813.2977,3789.4025,3788.8522,3972.7069,4012.1289,4102.152,4185.4977,4166.3888,4396.6612,4634.4635,4806.4972,5014.8378,5254.2499,5530.7303,5402.4671,6518.188
DZA,Manure Management Emissions (CO2eq) in Gigagrams,71.6566,68.0895,58.7574,63.8192,74.2715,77.6968,90.4649,94.0165,97.3541,99.2349,101.4528,103.2432,102.4128,106.0083,112.1836,110.0156,119.314,124.896,136.8063,146.389,151.2882,161.8753,173.2504,171.8381,172.6435,171.5943,177.2299,177.3813,181.1711,184.9246,179.88,185.355,188.8501,189.2943,195.5109,181.1561,187.8398,213.7386,210.5914,213.0856,213.6189,219.9429,222.7371,229.0984,231.0182,235.368,238.8223,237.8193,247.0647,256.4117,263.7466,272.8649,282.9354,293.2409,304.8347,392.1861
DZA,Rice Cultivation Emissions (CO2eq) in Gigagrams,12.2892,11.76,8.8906,7.7028,11.172,11.2896,10.0548,11.466,11.5836,8.0556,3.9396,6.2916,7.1736,5.9976,3.4104,2.94,3.3516,1.5288,2.352,2.4696,2.4696,2.4696,2.646,2.646,2.646,2.7048,2.8224,3.1164,3.1164,3.234,3.2928,3.3516,3.6044,4.116,4.1807,3.528,1.176,0.982,1.2054,1.1584,1.0172,1.1466,1.0114,1.1172,1.0996,1.2113,1.2583,1.2642,0.9996,0.8114,1.0525,1.0584,1.0584,1.0584,1.8738,2.4092
DZA,Synthetic Fertilizers Emissions (CO2eq) in Gigagrams,58.0918,96.8196,116.1836,103.2743,86.1501,110.6971,93.786,129.0929,187.1846,277.5496,438.9157,522.8261,490.5529,426.0064,258.1857,329.1868,336.5322,371.8907,389.0149,542.19,372.4329,314.5864,382.7603,566.2271,633.6717,727.3092,516.3714,339.5142,298.85,406.6425,264.6404,301.4318,476.3526,375.6602,118.7654,90.365,232.3671,284.0043,303.3682,285.9407,292.3953,180.9624,110.2195,675.9108,26.3737,283.0167,236.4077,149.1152,308.5448,457.7052,408.4627,484.1821,288.4515,1720.5819,363.8654,493.8174
DZA,Manure applied to Soils Emissions (CO2eq) in Gigagrams,30.9685,29.6945,27.4238,29.9441,34.2571,35.7374,40.6528,42.5075,44.2129,44.6915,45.8861,47.6186,47.3976,49.3793,51.8308,51.8004,55.4005,57.9261,61.5939,67.8954,71.6204,80.506,86.349,90.0056,91.9715,93.1579,96.5471,98.4619,100.7379,104.7443,101.8565,107.5241,109.3404,113.524,119.2302,106.0623,111.3939,130.953,123.7296,128.2791,131.5449,133.8333,136.7535,142.2826,141.7255,140.1379,141.0681,141.0116,144.1658,149.9268,153.6935,158.4205,164.6652,170.1171,198.3481,266.8152
DZA,Manure left on Pasture Emissions (CO2eq) in Gigagrams,1112.9111,1033.7608,887.5321,958.6685,1153.9592,1208.9588,1446.5255,1519.4201,1561.6768,1585.7201,1635.6505,1661.0462,1631.1991,1694.0877,1802.294,1760.8334,1932.2289,2039.4604,2243.8716,2373.465,2432.0417,2572.8054,2714.443,2674.7409,2675.3545,2644.0269,2727.3752,2727.1505,2807.3933,2859.1186,2749.4827,2876.7283,2933.7465,2865.8548,2887.1727,2803.7682,2860.6304,3075.457,3127.6083,3133.4577,3146.2565,3188.2341,3202.445,3326.5087,3368.8663,3441.4954,3506.5074,3485.1978,3663.627,3846.6888,3982.0483,4142.4401,4336.3173,4537.6084,4528.5287,5632.5736
DZA,Crop Residues Emissions (CO2eq) in Gigagrams,140.8985,242.0209,238.0296,177.173,196.391,106.536,183.4972,229.1509,210.5197,230.5679,202.2079,260.3648,200.9588,187.3739,276.6344,256.7003,163.5439,184.9335,198.6813,260.8579,213.6914,183.5623,159.5166,183.6145,300.5883,257.1477,232.5603,137.738,226.4305,192.1737,370.0576,341.4123,169.5772,113.4276,232.1135,445.4369,102.3572,314.2615,200.5735,107.4205,256.9898,197.848,387.373,375.2218,326.1307,367.7795,338.7434,168.3676,467.1479,382.3339,361.2267,471.981,454.2773,347.7991,421.0484,499.3618
DZA,Cultivation of Organic Soils Emissions (CO2eq) in Gigagrams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DZA,Burning - Crop residues Emissions (CO2eq) in Gigagrams,53.5168,59.2249,60.2355,69.012,68.9952,46.8835,63.0463,70.2607,69.4878,72.5849,67.8792,77.9753,74.0065,69.3151,70.023,72.1652,59.962,58.547,61.0888,65.0925,57.0571,51.5261,44.2056,48.7568,52.482,47.8211,47.5115,32.2638,46.2945,37.2847,54.2798,58.0009,39.4105,28.0543,52.7584,71.5,25.8976,80.8407,43.0661,25.9769,57.6286,43.8837,64.2459,63.0774,50.3281,55.979,57.0956,31.5931,57.9918,55.0765,52.4744,61.0811,54.2031,51.8699,63.5814,68.9311
DZA,Burning - Savanna Emissions (CO2eq) in Gigagrams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.2284,79.2284,79.2284,79.2284,79.2284,79.2284,59.7182,49.4859,130.9998,68.1895,81.2928,70.173,19.9405,94.8604,89.168,77.1537,34.3161,102.9284,30.6074,128.8624,60.7045,20.3068,216.9327,28.6479,141.0511,79.2284,79.2284
DZA,Agriculture total Emissions (CO2eq) in Gigagrams,2993.2564,2961.0544,2626.5815,2733.0306,3198.6001,3247.3071,3873.3478,4128.7005,4273.1084,4440.7649,4667.6681,4888.4957,4722.582,4789.678,4972.3266,4923.1053,5233.0792,5536.6508,6061.1416,6562.183,6457.0545,6667.8667,6992.3806,7037.795,7216.0822,7166.9156,7135.7759,6842.127,7093.3263,7332.476,7106.5447,7416.3296,7524.755,7162.7738,7071.091,7160.2522,7000.3207,7763.636,7845.1538,7756.0774,7982.922,7775.1941,8008.498,8875.0919,8234.8245,8661.4559,8808.329,8411.365,9415.0653,9844.1223,10049.5088,10823.7985,10864.806,12794.0572,11363.7761,13953.5107
DZA,Agricultural Soils Emissions (CO2eq) in Gigagrams,1342.8698,1402.2959,1269.1691,1269.0599,1470.7574,1461.9293,1764.4614,1920.1714,2003.5941,2138.5292,2322.6602,2491.8557,2370.1084,2356.8473,2388.9449,2398.521,2487.7055,2654.2107,2893.1617,3244.4083,3089.7864,3151.4601,3343.0689,3514.5881,3701.586,3721.6416,3572.8539,3302.8646,3433.4117,3562.6791,3486.0371,3627.0965,3689.0168,3468.4666,3357.2818,3445.6324,3306.7486,3804.6759,3755.2797,3655.0979,3827.1865,3700.8778,3836.791,4519.924,3863.0961,4232.4296,4222.7267,3943.6921,4583.4855,4836.6547,4905.4312,5257.0237,5243.7114,6776.1065,5511.7907,6892.568
ASM,Enteric Fermentation Emissions (CO2eq) in Gigagrams,0.5883,0.5628,0.6145,0.6798,0.6455,0.6071,0.4889,0.4118,0.5321,0.5315,0.4738,0.4427,0.4368,0.432,0.4271,0.416,0.4805,0.419,0.3423,0.3421,0.3478,0.3639,0.3801,0.3906,0.3969,0.4011,0.4074,0.4116,0.52,0.3591,0.3591,0.3591,0.3635,0.3641,0.3648,0.3654,0.366,0.3629,0.3629,0.3629,0.3673,0.3679,0.3685,0.3629,0.3629,0.3591,0.378,0.3786,0.3793,0.3793,0.3793,0.3793,0.3793,0.3793,0.5152,0.6865
ASM,Manure Management Emissions (CO2eq) in Gigagrams,2.7492,2.4848,3.5006,4.5435,5.003,4.7893,3.5101,3.2792,3.2779,3.2775,3.2868,3.3017,3.3185,3.3445,3.3728,3.402,3.4373,3.461,3.4835,3.4858,3.5466,3.7141,3.881,4.0484,4.1494,4.2171,4.3181,4.3858,4.3969,3.5576,3.5589,3.5598,3.5623,3.5642,3.5643,3.5653,3.5659,3.563,3.563,3.5626,3.5671,3.5676,3.5682,3.563,3.563,3.5661,3.5729,3.5739,3.574,3.574,3.574,3.574,3.574,3.574,5.5099,7.7556
ASM,Manure applied to Soils Emissions (CO2eq) in Gigagrams,0.5424,0.5078,0.6384,0.7727,0.8315,0.7838,0.5963,0.544,0.5255,0.526,0.5291,0.5337,0.5381,0.5307,0.5275,0.5269,0.5274,0.5234,0.5191,0.5127,0.523,0.5472,0.5699,0.5937,0.609,0.62,0.6352,0.6462,0.6507,0.5442,0.5466,0.5479,0.5516,0.5541,0.5529,0.5541,0.5542,0.554,0.554,0.5528,0.5543,0.5543,0.5543,0.554,0.554,0.5612,0.5618,0.563,0.5618,0.5618,0.5618,0.5618,0.5618,0.5618,0.9135,1.3655
ASM,Manure left on Pasture Emissions (CO2eq) in Gigagrams,0.2187,0.2142,0.2077,0.2076,0.1752,0.161,0.1403,0.1066,0.1676,0.1675,0.1378,0.1217,0.1185,0.1146,0.1109,0.1041,0.1361,0.1033,0.0627,0.0623,0.0636,0.0669,0.0702,0.0703,0.0704,0.0706,0.0707,0.0708,0.1266,0.0711,0.0712,0.0713,0.0735,0.0737,0.0737,0.0738,0.0739,0.0735,0.0735,0.0735,0.074,0.0741,0.0742,0.0735,0.0735,0.072,0.0792,0.0793,0.0793,0.0793,0.0793,0.0793,0.0793,0.0793,0.0949,0.12
ASM,Cultivation of Organic Soils Emissions (CO2eq) in Gigagrams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASM,Burning - Crop residues Emissions (CO2eq) in Gigagrams,0.0015,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0013,0.0013,0.0013,0.0013,0.0013,0.0013,0.0013,0.0012,0.0011,0.0011,0.001,0.0009,0.0008,0.0007,0.0007,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.001,0.0014,0.0014,0.0014,0.0014,0.0015,0.0015,0.0015,0.0016,0.0016,0.0016,0.0016,0.0015,0.0015,0.0015,0.0015,0.0015,0.0018,0.0019
ASM,Burning - Savanna Emissions (CO2eq) in Gigagrams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASM,Agriculture total Emissions (CO2eq) in Gigagrams,4.1002,3.7709,4.9626,6.205,6.6566,6.3426,4.737,4.343,4.5044,4.504,4.4288,4.4012,4.4133,4.4231,4.4397,4.4504,4.5826,4.508,4.4089,4.4042,4.4822,4.6933,4.9023,5.1041,5.2266,5.3095,5.4321,5.5151,5.6949,4.5326,4.5364,4.5385,4.5515,4.5566,4.5563,4.5593,4.5606,4.5544,4.5548,4.5531,4.564,4.5653,4.5668,4.555,4.555,4.5599,4.5934,4.5964,4.5961,4.596,4.596,4.596,4.596,4.596,7.0353,9.9295
ASM,Agricultural Soils Emissions (CO2eq) in Gigagrams,0.7612,0.7219,0.8461,0.9803,1.0066,0.9448,0.7365,0.6506,0.693,0.6936,0.6669,0.6554,0.6566,0.6452,0.6384,0.631,0.6636,0.6267,0.5818,0.575,0.5866,0.6142,0.6401,0.664,0.6794,0.6905,0.7059,0.717,0.7773,0.6153,0.6178,0.6191,0.6251,0.6277,0.6266,0.628,0.6281,0.6275,0.6275,0.6263,0.6283,0.6284,0.6285,0.6275,0.6275,0.6332,0.6409,0.6423,0.6412,0.6412,0.6412,0.6412,0.6412,0.6412,1.0084,1.4855
AND,Cultivation of Organic Soils Emissions (CO2eq) in Gigagrams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AND,Burning - Savanna Emissions (CO2eq) in Gigagrams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AND,Agriculture total Emissions (CO2eq) in Gigagrams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AND,Agricultural Soils Emissions (CO2eq) in Gigagrams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
