"CountryCode","Country","ItemCode","Item","ElementGroup","ElementCode","Element","Year","Unit","Value","Flag"
"216","Thailand","6740","Bioenergy production","7204","72041","Bioenergy production as a % of total renewable energy production","1972","%","98.110","Fc"
"216","Thailand","6740","Bioenergy production","7204","72041","Bioenergy production as a % of total renewable energy production","1973","%","98.000","Fc"
"216","Thailand","6740","Bioenergy production","7204","72041","Bioenergy production as a % of total renewable energy production","1974","%","97.560","Fc"
"216","Thailand","6740","Bioenergy production","7204","72041","Bioenergy production as a % of total renewable energy production","1975","%","97.070","Fc"
"216","Thailand","6740","Bioenergy production","7204","72041","Bioenergy production as a % of total renewable energy production","1976","%","97.010","Fc"
"216","Thailand","6740","Bioenergy production","7204","72041","Bioenergy production as a % of total renewable energy production","1977","%","97.410","Fc"
"216","Thailand","6740","Bioenergy production","7204","72041","Bioenergy production as a % of total renewable energy production","1978","%","98.290","Fc"
"216","Thailand","6740","Bioenergy production","7204","72041","Bioenergy production as a % of total renewable energy production","1979","%","97.520","Fc"
"216","Thailand","6740","Bioenergy production","7204","72041","Bioenergy production as a % of total renewable energy production","1980","%","98.980","Fc"
"216","Thailand","6740","Bioenergy production","7204","72041","Bioenergy production as a % of total renewable energy production","1981","%","97.750","Fc"
"216","Thailand","6740","Bioenergy production","7204","72041","Bioenergy production as a % of total renewable energy production","1982","%","97.220","Fc"
"216","Thailand","6740","Bioenergy production","7204","72041","Bioenergy production as a % of total renewable energy production","1983","%","96.520","Fc"
"216","Thailand","6740","Bioenergy production","7204","72041","Bioenergy production as a % of total renewable energy production","1984","%","96.440","Fc"
"216","Thailand","6740","Bioenergy production","7204","72041","Bioenergy production as a % of total renewable energy production","1985","%","97.130","Fc"
"216","Thailand","6740","Bioenergy production","7204","72041","Bioenergy production as a % of total renewable energy production","1986","%","96.040","Fc"
"216","Thailand","6740","Bioenergy production","7204","72041","Bioenergy production as a % of total renewable energy production","1987","%","97.210","Fc"
"216","Thailand","6740","Bioenergy production","7204","72041","Bioenergy production as a % of total renewable energy production","1988","%","97.520","Fc"
"216","Thailand","6740","Bioenergy production","7204","72041","Bioenergy production as a % of total renewable energy production","1989","%","96.750","Fc"
"216","Thailand","6740","Bioenergy production","7204","72041","Bioenergy production as a % of total renewable energy production","1990","%","97.160","Fc"
"216","Thailand","6740","Bioenergy production","7204","72041","Bioenergy production as a % of total renewable energy production","1991","%","97.510","Fc"
"216","Thailand","6740","Bioenergy production","7204","72041","Bioenergy production as a % of total renewable energy production","1992","%","97.720","Fc"
"216","Thailand","6740","Bioenergy production","7204","72041","Bioenergy production as a % of total renewable energy production","1993","%","97.790","Fc"
"216","Thailand","6740","Bioenergy production","7204","72041","Bioenergy production as a % of total renewable energy production","1994","%","97.220","Fc"
"216","Thailand","6740","Bioenergy production","7204","72041","Bioenergy production as a % of total renewable energy production","1995","%","96.100","Fc"
"216","Thailand","6740","Bioenergy production","7204","72041","Bioenergy production as a % of total renewable energy production","1996","%","95.860","Fc"
"216","Thailand","6740","Bioenergy production","7204","72041","Bioenergy production as a % of total renewable energy production","1997","%","95.820","Fc"
"216","Thailand","6740","Bioenergy production","7204","72041","Bioenergy production as a % of total renewable energy production","1998","%","96.820","Fc"
"216","Thailand","6740","Bioenergy production","7204","72041","Bioenergy production as a % of total renewable energy production","1999","%","97.940","Fc"
"216","Thailand","6740","Bioenergy production","7204","72041","Bioenergy production as a % of total renewable energy production","2000","%","96.560","Fc"
"216","Thailand","6740","Bioenergy production","7204","72041","Bioenergy production as a % of total renewable energy production","2001","%","96.050","Fc"
"216","Thailand","6740","Bioenergy production","7204","72041","Bioenergy production as a % of total renewable energy production","2002","%","95.600","Fc"
"216","Thailand","6740","Bioenergy production","7204","72041","Bioenergy production as a % of total renewable energy production","2003","%","96.020","Fc"
"216","Thailand","6740","Bioenergy production","7204","72041","Bioenergy production as a % of total renewable energy production","2004","%","96.930","Fc"
"216","Thailand","6740","Bioenergy production","7204","72041","Bioenergy production as a % of total renewable energy production","2005","%","97.170","Fc"
"216","Thailand","6740","Bioenergy production","7204","72041","Bioenergy production as a % of total renewable energy production","2006","%","96.150","Fc"
"216","Thailand","6740","Bioenergy production","7204","72041","Bioenergy production as a % of total renewable energy production","2007","%","96.420","Fc"
"216","Thailand","6740","Bioenergy production","7204","72041","Bioenergy production as a % of total renewable energy production","2008","%","97.030","Fc"
"216","Thailand","6740","Bioenergy production","7204","72041","Bioenergy production as a % of total renewable energy production","2009","%","97.090","Fc"
"216","Thailand","6741","Energy used in agriculture and forestry","7204","72040","Agriculture and forestry energy use as a % of total Energy use","1971","%","7.070","Fc"
"216","Thailand","6741","Energy used in agriculture and forestry","7204","72040","Agriculture and forestry energy use as a % of total Energy use","1972","%","6.580","Fc"
"216","Thailand","6741","Energy used in agriculture and forestry","7204","72040","Agriculture and forestry energy use as a % of total Energy use","1973","%","7.240","Fc"
"216","Thailand","6741","Energy used in agriculture and forestry","7204","72040","Agriculture and forestry energy use as a % of total Energy use","1974","%","7.960","Fc"
"216","Thailand","6741","Energy used in agriculture and forestry","7204","72040","Agriculture and forestry energy use as a % of total Energy use","1975","%","6.430","Fc"
"216","Thailand","6741","Energy used in agriculture and forestry","7204","72040","Agriculture and forestry energy use as a % of total Energy use","1976","%","6.440","Fc"
"216","Thailand","6741","Energy used in agriculture and forestry","7204","72040","Agriculture and forestry energy use as a % of total Energy use","1977","%","6.650","Fc"
"216","Thailand","6741","Energy used in agriculture and forestry","7204","72040","Agriculture and forestry energy use as a % of total Energy use","1978","%","6.630","Fc"
"216","Thailand","6741","Energy used in agriculture and forestry","7204","72040","Agriculture and forestry energy use as a % of total Energy use","1979","%","6.650","Fc"
"216","Thailand","6741","Energy used in agriculture and forestry","7204","72040","Agriculture and forestry energy use as a % of total Energy use","1980","%","7.460","Fc"
"216","Thailand","6741","Energy used in agriculture and forestry","7204","72040","Agriculture and forestry energy use as a % of total Energy use","1981","%","6.400","Fc"
"216","Thailand","6741","Energy used in agriculture and forestry","7204","72040","Agriculture and forestry energy use as a % of total Energy use","1982","%","6.890","Fc"
"216","Thailand","6741","Energy used in agriculture and forestry","7204","72040","Agriculture and forestry energy use as a % of total Energy use","1983","%","7.810","Fc"
"216","Thailand","6741","Energy used in agriculture and forestry","7204","72040","Agriculture and forestry energy use as a % of total Energy use","1984","%","8.020","Fc"
"216","Thailand","6741","Energy used in agriculture and forestry","7204","72040","Agriculture and forestry energy use as a % of total Energy use","1985","%","7.860","Fc"
"216","Thailand","6741","Energy used in agriculture and forestry","7204","72040","Agriculture and forestry energy use as a % of total Energy use","1986","%","7.700","Fc"
"216","Thailand","6741","Energy used in agriculture and forestry","7204","72040","Agriculture and forestry energy use as a % of total Energy use","1987","%","6.990","Fc"
"216","Thailand","6741","Energy used in agriculture and forestry","7204","72040","Agriculture and forestry energy use as a % of total Energy use","1988","%","6.910","Fc"
"216","Thailand","6741","Energy used in agriculture and forestry","7204","72040","Agriculture and forestry energy use as a % of total Energy use","1989","%","6.330","Fc"
"216","Thailand","6741","Energy used in agriculture and forestry","7204","72040","Agriculture and forestry energy use as a % of total Energy use","1990","%","6.310","Fc"
"216","Thailand","6741","Energy used in agriculture and forestry","7204","72040","Agriculture and forestry energy use as a % of total Energy use","1991","%","6.030","Fc"
"216","Thailand","6741","Energy used in agriculture and forestry","7204","72040","Agriculture and forestry energy use as a % of total Energy use","1992","%","5.770","Fc"
"216","Thailand","6741","Energy used in agriculture and forestry","7204","72040","Agriculture and forestry energy use as a % of total Energy use","1993","%","4.540","Fc"
"216","Thailand","6741","Energy used in agriculture and forestry","7204","72040","Agriculture and forestry energy use as a % of total Energy use","1994","%","4.110","Fc"
"216","Thailand","6741","Energy used in agriculture and forestry","7204","72040","Agriculture and forestry energy use as a % of total Energy use","1995","%","3.540","Fc"
"216","Thailand","6741","Energy used in agriculture and forestry","7204","72040","Agriculture and forestry energy use as a % of total Energy use","1996","%","3.640","Fc"
"216","Thailand","6741","Energy used in agriculture and forestry","7204","72040","Agriculture and forestry energy use as a % of total Energy use","1997","%","5.320","Fc"
