"CountryCode","Country","ItemCode","Item","ElementGroup","ElementCode","Element","Year","Unit","Value","Flag"
"29","Burundi","6709","Soil","7219","7219","Average soil erosion expressed in GLASOD erosion degree","1991","degrees","0.000",""
"29","Burundi","6709","Soil","7220","7220","Average land degradation in GLASOD erosion degree","1991","degrees","1.940",""
"29","Burundi","6709","Soil","7221","7221","Average carbon content in the topsoil as a % in weight","2008","%","1.020",""
"115","Cambodia","6709","Soil","7219","7219","Average soil erosion expressed in GLASOD erosion degree","1991","degrees","1.740",""
"115","Cambodia","6709","Soil","7220","7220","Average land degradation in GLASOD erosion degree","1991","degrees","2.450",""
"115","Cambodia","6709","Soil","7221","7221","Average carbon content in the topsoil as a % in weight","2008","%","0.960",""
"32","Cameroon","6709","Soil","7219","7219","Average soil erosion expressed in GLASOD erosion degree","1991","degrees","1.910",""
"32","Cameroon","6709","Soil","7220","7220","Average land degradation in GLASOD erosion degree","1991","degrees","1.830",""
"32","Cameroon","6709","Soil","7221","7221","Average carbon content in the topsoil as a % in weight","2008","%","1.080",""
"33","Canada","6709","Soil","7219","7219","Average soil erosion expressed in GLASOD erosion degree","1991","degrees","0.440",""
"33","Canada","6709","Soil","7220","7220","Average land degradation in GLASOD erosion degree","1991","degrees","0.210",""
"33","Canada","6709","Soil","7221","7221","Average carbon content in the topsoil as a % in weight","2008","%","4.280",""
"35","Cape Verde","6709","Soil","7219","7219","Average soil erosion expressed in GLASOD erosion degree","1991","degrees","3.000",""
"35","Cape Verde","6709","Soil","7220","7220","Average land degradation in GLASOD erosion degree","1991","degrees","4.000",""
"35","Cape Verde","6709","Soil","7221","7221","Average carbon content in the topsoil as a % in weight","2008","%","1.250",""
"5206","Caribbean + (Total)","6709","Soil","7219","7219","Average soil erosion expressed in GLASOD erosion degree","1991","degrees","1.360","A"
"5206","Caribbean + (Total)","6709","Soil","7220","7220","Average land degradation in GLASOD erosion degree","1991","degrees","2.010","A"
"5206","Caribbean + (Total)","6709","Soil","7221","7221","Average carbon content in the topsoil as a % in weight","2008","%","2.430","A"
"36","Cayman Islands","6709","Soil","7221","7221","Average carbon content in the topsoil as a % in weight","2008","%","0.370",""
"37","Central African Republic","6709","Soil","7219","7219","Average soil erosion expressed in GLASOD erosion degree","1991","degrees","0.140",""
"37","Central African Republic","6709","Soil","7220","7220","Average land degradation in GLASOD erosion degree","1991","degrees","1.650",""
"37","Central African Republic","6709","Soil","7221","7221","Average carbon content in the topsoil as a % in weight","2008","%","0.860",""
"5204","Central America + (Total)","6709","Soil","7219","7219","Average soil erosion expressed in GLASOD erosion degree","1991","degrees","1.260","A"
"5204","Central America + (Total)","6709","Soil","7220","7220","Average land degradation in GLASOD erosion degree","1991","degrees","1.890","A"
"5204","Central America + (Total)","6709","Soil","7221","7221","Average carbon content in the topsoil as a % in weight","2008","%","2.090","A"
"5301","Central Asia + (Total)","6709","Soil","7221","7221","Average carbon content in the topsoil as a % in weight","2008","%","0.800","A"
"39","Chad","6709","Soil","7219","7219","Average soil erosion expressed in GLASOD erosion degree","1991","degrees","0.510",""
"39","Chad","6709","Soil","7220","7220","Average land degradation in GLASOD erosion degree","1991","degrees","1.440",""
"39","Chad","6709","Soil","7221","7221","Average carbon content in the topsoil as a % in weight","2008","%","0.870",""
"40","Chile","6709","Soil","7219","7219","Average soil erosion expressed in GLASOD erosion degree","1991","degrees","0.820",""
"40","Chile","6709","Soil","7220","7220","Average land degradation in GLASOD erosion degree","1991","degrees","1.410",""
"40","Chile","6709","Soil","7221","7221","Average carbon content in the topsoil as a % in weight","2008","%","2.230",""
"351","China","6709","Soil","7219","7219","Average soil erosion expressed in GLASOD erosion degree","1991","degrees","0.490",""
"351","China","6709","Soil","7220","7220","Average land degradation in GLASOD erosion degree","1991","degrees","7.870",""
"44","Colombia","6709","Soil","7219","7219","Average soil erosion expressed in GLASOD erosion degree","1991","degrees","0.290",""
"44","Colombia","6709","Soil","7220","7220","Average land degradation in GLASOD erosion degree","1991","degrees","2.510",""
"44","Colombia","6709","Soil","7221","7221","Average carbon content in the topsoil as a % in weight","2008","%","3.820",""
"45","Comoros","6709","Soil","7219","7219","Average soil erosion expressed in GLASOD erosion degree","1991","degrees","3.000",""
"45","Comoros","6709","Soil","7220","7220","Average land degradation in GLASOD erosion degree","1991","degrees","4.000",""
"45","Comoros","6709","Soil","7221","7221","Average carbon content in the topsoil as a % in weight","2008","%","1.590",""
"46","Congo","6709","Soil","7219","7219","Average soil erosion expressed in GLASOD erosion degree","1991","degrees","2.990",""
"46","Congo","6709","Soil","7220","7220","Average land degradation in GLASOD erosion degree","1991","degrees","0.650",""
"46","Congo","6709","Soil","7221","7221","Average carbon content in the topsoil as a % in weight","2008","%","1.480",""
"48","Costa Rica","6709","Soil","7219","7219","Average soil erosion expressed in GLASOD erosion degree","1991","degrees","2.290",""
"48","Costa Rica","6709","Soil","7220","7220","Average land degradation in GLASOD erosion degree","1991","degrees","3.030",""
"48","Costa Rica","6709","Soil","7221","7221","Average carbon content in the topsoil as a % in weight","2008","%","3.300",""
"107","Côte d'Ivoire","6709","Soil","7219","7219","Average soil erosion expressed in GLASOD erosion degree","1991","degrees","0.220",""
"107","Côte d'Ivoire","6709","Soil","7220","7220","Average land degradation in GLASOD erosion degree","1991","degrees","2.950",""
"107","Côte d'Ivoire","6709","Soil","7221","7221","Average carbon content in the topsoil as a % in weight","2008","%","0.890",""
"98","Croatia","6709","Soil","7221","7221","Average carbon content in the topsoil as a % in weight","2008","%","1.270",""
"49","Cuba","6709","Soil","7219","7219","Average soil erosion expressed in GLASOD erosion degree","1991","degrees","0.840",""
"49","Cuba","6709","Soil","7220","7220","Average land degradation in GLASOD erosion degree","1991","degrees","1.850",""
"49","Cuba","6709","Soil","7221","7221","Average carbon content in the topsoil as a % in weight","2008","%","1.240",""
"50","Cyprus","6709","Soil","7219","7219","Average soil erosion expressed in GLASOD erosion degree","1991","degrees","1.000",""
"50","Cyprus","6709","Soil","7220","7220","Average land degradation in GLASOD erosion degree","1991","degrees","2.000",""
"50","Cyprus","6709","Soil","7221","7221","Average carbon content in the topsoil as a % in weight","2008","%","1.030",""
"167","Czech Republic","6709","Soil","7221","7221","Average carbon content in the topsoil as a % in weight","2008","%","1.280",""
"116","Democratic People's Republic of Korea","6709","Soil","7219","7219","Average soil erosion expressed in GLASOD erosion degree","1991","degrees","0.000",""
"116","Democratic People's Republic of Korea","6709","Soil","7220","7220","Average land degradation in GLASOD erosion degree","1991","degrees","2.840",""
"116","Democratic People's Republic of Korea","6709","Soil","7221","7221","Average carbon content in the topsoil as a % in weight","2008","%","1.640",""
"250","Democratic Republic of the Congo","6709","Soil","7219","7219","Average soil erosion expressed in GLASOD erosion degree","1991","degrees","0.310",""
"250","Democratic Republic of the Congo","6709","Soil","7220","7220","Average land degradation in GLASOD erosion degree","1991","degrees","1.980",""
"250","Democratic Republic of the Congo","6709","Soil","7221","7221","Average carbon content in the topsoil as a % in weight","2008","%","1.090",""
"54","Denmark","6709","Soil","7219","7219","Average soil erosion expressed in GLASOD erosion degree","1991","degrees","0.000",""
"54","Denmark","6709","Soil","7220","7220","Average land degradation in GLASOD erosion degree","1991","degrees","1.770",""
"54","Denmark","6709","Soil","7221","7221","Average carbon content in the topsoil as a % in weight","2008","%","1.390",""
"72","Djibouti","6709","Soil","7219","7219","Average soil erosion expressed in GLASOD erosion degree","1991","degrees","3.000",""
"72","Djibouti","6709","Soil","7220","7220","Average land degradation in GLASOD erosion degree","1991","degrees","4.000",""
"72","Djibouti","6709","Soil","7221","7221","Average carbon content in the topsoil as a % in weight","2008","%","0.470",""
"55","Dominica","6709","Soil","7221","7221","Average carbon content in the topsoil as a % in weight","2008","%","5.110",""
"56","Dominican Republic","6709","Soil","7219","7219","Average soil erosion expressed in GLASOD erosion degree","1991","degrees","1.350",""
"56","Dominican Republic","6709","Soil","7220","7220","Average land degradation in GLASOD erosion degree","1991","degrees","2.290",""
"56","Dominican Republic","6709","Soil","7221","7221","Average carbon content in the topsoil as a % in weight","2008","%","1.030",""
"5101","Eastern Africa + (Total)","6709","Soil","7219","7219","Average soil erosion expressed in GLASOD erosion degree","1991","degrees","0.850","A"
"5101","Eastern Africa + (Total)","6709","Soil","7220","7220","Average land degradation in GLASOD erosion degree","1991","degrees","2.550","A"
"5101","Eastern Africa + (Total)","6709","Soil","7221","7221","Average carbon content in the topsoil as a % in weight","2008","%","1.470","A"
"5302","Eastern Asia + (Total)","6709","Soil","7219","7219","Average soil erosion expressed in GLASOD erosion degree","1991","degrees","0.270","A"
"5302","Eastern Asia + (Total)","6709","Soil","7220","7220","Average land degradation in GLASOD erosion degree","1991","degrees","3.160","A"
"5302","Eastern Asia + (Total)","6709","Soil","7221","7221","Average carbon content in the topsoil as a % in weight","2008","%","1.590","A"
"5401","Eastern Europe + (Total)","6709","Soil","7219","7219","Average soil erosion expressed in GLASOD erosion degree","1991","degrees","1.030","A"
"5401","Eastern Europe + (Total)","6709","Soil","7220","7220","Average land degradation in GLASOD erosion degree","1991","degrees","2.110","A"
"5401","Eastern Europe + (Total)","6709","Soil","7221","7221","Average carbon content in the topsoil as a % in weight","2008","%","2.480","A"
"58","Ecuador","6709","Soil","7219","7219","Average soil erosion expressed in GLASOD erosion degree","1991","degrees","0.440",""
"58","Ecuador","6709","Soil","7220","7220","Average land degradation in GLASOD erosion degree","1991","degrees","2.590",""
"58","Ecuador","6709","Soil","7221","7221","Average carbon content in the topsoil as a % in weight","2008","%","2.120",""
"59","Egypt","6709","Soil","7219","7219","Average soil erosion expressed in GLASOD erosion degree","1991","degrees","0.800",""
"59","Egypt","6709","Soil","7220","7220","Average land degradation in GLASOD erosion degree","1991","degrees","0.230",""
"59","Egypt","6709","Soil","7221","7221","Average carbon content in the topsoil as a % in weight","2008","%","0.370",""
"60","El Salvador","6709","Soil","7219","7219","Average soil erosion expressed in GLASOD erosion degree","1991","degrees","1.000",""
"60","El Salvador","6709","Soil","7220","7220","Average land degradation in GLASOD erosion degree","1991","degrees","2.030",""
"60","El Salvador","6709","Soil","7221","7221","Average carbon content in the topsoil as a % in weight","2008","%","1.810",""
"61","Equatorial Guinea","6709","Soil","7219","7219","Average soil erosion expressed in GLASOD erosion degree","1991","degrees","0.000",""
"61","Equatorial Guinea","6709","Soil","7220","7220","Average land degradation in GLASOD erosion degree","1991","degrees","0.810",""
"61","Equatorial Guinea","6709","Soil","7221","7221","Average carbon content in the topsoil as a % in weight","2008","%","0.990",""
"178","Eritrea","6709","Soil","7221","7221","Average carbon content in the topsoil as a % in weight","2008","%","0.590",""
"63","Estonia","6709","Soil","7221","7221","Average carbon content in the topsoil as a % in weight","2008","%","7.070",""
"238","Ethiopia","6709","Soil","7221","7221","Average carbon content in the topsoil as a % in weight","2008","%","0.930",""
"5400","Europe + (Total)","6709","Soil","7219","7219","Average soil erosion expressed in GLASOD erosion degree","1991","degrees","0.750","A"
"5400","Europe + (Total)","6709","Soil","7220","7220","Average land degradation in GLASOD erosion degree","1991","degrees","2.090","A"
"5400","Europe + (Total)","6709","Soil","7221","7221","Average carbon content in the topsoil as a % in weight","2008","%","2.540","A"
"5706","European Union + (Total)","6709","Soil","7219","7219","Average soil erosion expressed in GLASOD erosion degree","1991","degrees","0.650","A"
"5706","European Union + (Total)","6709","Soil","7220","7220","Average land degradation in GLASOD erosion degree","1991","degrees","2.210","A"
"5706","European Union + (Total)","6709","Soil","7221","7221","Average carbon content in the topsoil as a % in weight","2008","%","2.870","A"
"65","Falkland Islands (Malvinas)","6709","Soil","7219","7219","Average soil erosion expressed in GLASOD erosion degree","1991","degrees","0.000",""
"65","Falkland Islands (Malvinas)","6709","Soil","7220","7220","Average land degradation in GLASOD erosion degree","1991","degrees","3.000",""
"65","Falkland Islands (Malvinas)","6709","Soil","7221","7221","Average carbon content in the topsoil as a % in weight","2008","%","16.470",""
"64","Faroe Islands","6709","Soil","7220","7220","Average land degradation in GLASOD erosion degree","1991","degrees","0.000",""
"64","Faroe Islands","6709","Soil","7221","7221","Average carbon content in the topsoil as a % in weight","2008","%","1.390",""
"66","Fiji","6709","Soil","7220","7220","Average land degradation in GLASOD erosion degree","1991","degrees","0.000",""
"66","Fiji","6709","Soil","7221","7221","Average carbon content in the topsoil as a % in weight","2008","%","1.450",""
"67","Finland","6709","Soil","7219","7219","Average soil erosion expressed in GLASOD erosion degree","1991","degrees","0.040",""
"67","Finland","6709","Soil","7220","7220","Average land degradation in GLASOD erosion degree","1991","degrees","2.580",""
"67","Finland","6709","Soil","7221","7221","Average carbon content in the topsoil as a % in weight","2008","%","11.030",""
"68","France","6709","Soil","7219","7219","Average soil erosion expressed in GLASOD erosion degree","1991","degrees","0.190",""
"68","France","6709","Soil","7220","7220","Average land degradation in GLASOD erosion degree","1991","degrees","2.820",""
"68","France","6709","Soil","7221","7221","Average carbon content in the topsoil as a % in weight","2008","%","1.420",""
"69","French Guiana","6709","Soil","7220","7220","Average land degradation in GLASOD erosion degree","1991","degrees","0.290",""
"69","French Guiana","6709","Soil","7221","7221","Average carbon content in the topsoil as a % in weight","2008","%","1.300",""
"74","Gabon","6709","Soil","7219","7219","Average soil erosion expressed in GLASOD erosion degree","1991","degrees","1.000",""
"74","Gabon","6709","Soil","7220","7220","Average land degradation in GLASOD erosion degree","1991","degrees","0.460",""
"74","Gabon","6709","Soil","7221","7221","Average carbon content in the topsoil as a % in weight","2008","%","0.970",""
"75","Gambia","6709","Soil","7219","7219","Average soil erosion expressed in GLASOD erosion degree","1991","degrees","0.320",""
"75","Gambia","6709","Soil","7220","7220","Average land degradation in GLASOD erosion degree","1991","degrees","2.760",""
"75","Gambia","6709","Soil","7221","7221","Average carbon content in the topsoil as a % in weight","2008","%","0.850",""
"73","Georgia","6709","Soil","7221","7221","Average carbon content in the topsoil as a % in weight","2008","%","1.120",""
"79","Germany","6709","Soil","7219","7219","Average soil erosion expressed in GLASOD erosion degree","1991","degrees","0.380",""
"79","Germany","6709","Soil","7220","7220","Average land degradation in GLASOD erosion degree","1991","degrees","2.650",""
"79","Germany","6709","Soil","7221","7221","Average carbon content in the topsoil as a % in weight","2008","%","3.010",""
"81","Ghana","6709","Soil","7219","7219","Average soil erosion expressed in GLASOD erosion degree","1991","degrees","0.930",""
"81","Ghana","6709","Soil","7220","7220","Average land degradation in GLASOD erosion degree","1991","degrees","2.260",""
"81","Ghana","6709","Soil","7221","7221","Average carbon content in the topsoil as a % in weight","2008","%","0.880",""
"82","Gibraltar","6709","Soil","7221","7221","Average carbon content in the topsoil as a % in weight","2008","%","0.750",""
"84","Greece","6709","Soil","7219","7219","Average soil erosion expressed in GLASOD erosion degree","1991","degrees","0.530",""
"84","Greece","6709","Soil","7220","7220","Average land degradation in GLASOD erosion degree","1991","degrees","2.560",""
"84","Greece","6709","Soil","7221","7221","Average carbon content in the topsoil as a % in weight","2008","%","1.140",""
"85","Greenland","6709","Soil","7220","7220","Average land degradation in GLASOD erosion degree","1991","degrees","0.000",""
"85","Greenland","6709","Soil","7221","7221","Average carbon content in the topsoil as a % in weight","2008","%","1.120",""
"86","Grenada","6709","Soil","7221","7221","Average carbon content in the topsoil as a % in weight","2008","%","1.600",""
"87","Guadeloupe","6709","Soil","7221","7221","Average carbon content in the topsoil as a % in weight","2008","%","9.090",""
"89","Guatemala","6709","Soil","7219","7219","Average soil erosion expressed in GLASOD erosion degree","1991","degrees","1.000",""
"89","Guatemala","6709","Soil","7220","7220","Average land degradation in GLASOD erosion degree","1991","degrees","1.700",""
"89","Guatemala","6709","Soil","7221","7221","Average carbon content in the topsoil as a % in weight","2008","%","2.060",""
"90","Guinea","6709","Soil","7219","7219","Average soil erosion expressed in GLASOD erosion degree","1991","degrees","0.000",""
"90","Guinea","6709","Soil","7220","7220","Average land degradation in GLASOD erosion degree","1991","degrees","2.960",""
"90","Guinea","6709","Soil","7221","7221","Average carbon content in the topsoil as a % in weight","2008","%","1.270",""
"175","Guinea-Bissau","6709","Soil","7219","7219","Average soil erosion expressed in GLASOD erosion degree","1991","degrees","0.590",""
"175","Guinea-Bissau","6709","Soil","7220","7220","Average land degradation in GLASOD erosion degree","1991","degrees","2.550",""
"175","Guinea-Bissau","6709","Soil","7221","7221","Average carbon content in the topsoil as a % in weight","2008","%","1.120",""
"91","Guyana","6709","Soil","7219","7219","Average soil erosion expressed in GLASOD erosion degree","1991","degrees","0.000",""
"91","Guyana","6709","Soil","7220","7220","Average land degradation in GLASOD erosion degree","1991","degrees","1.620",""
"91","Guyana","6709","Soil","7221","7221","Average carbon content in the topsoil as a % in weight","2008","%","3.540",""
"93","Haiti","6709","Soil","7219","7219","Average soil erosion expressed in GLASOD erosion degree","1991","degrees","2.960",""
"93","Haiti","6709","Soil","7220","7220","Average land degradation in GLASOD erosion degree","1991","degrees","3.920",""
"93","Haiti","6709","Soil","7221","7221","Average carbon content in the topsoil as a % in weight","2008","%","0.850",""
"95","Honduras","6709","Soil","7219","7219","Average soil erosion expressed in GLASOD erosion degree","1991","degrees","0.960",""
"95","Honduras","6709","Soil","7220","7220","Average land degradation in GLASOD erosion degree","1991","degrees","1.750",""
"95","Honduras","6709","Soil","7221","7221","Average carbon content in the topsoil as a % in weight","2008","%","1.420",""
"97","Hungary","6709","Soil","7219","7219","Average soil erosion expressed in GLASOD erosion degree","1991","degrees","1.000",""
"97","Hungary","6709","Soil","7220","7220","Average land degradation in GLASOD erosion degree","1991","degrees","2.490",""
"97","Hungary","6709","Soil","7221","7221","Average carbon content in the topsoil as a % in weight","2008","%","2.390",""
"99","Iceland","6709","Soil","7219","7219","Average soil erosion expressed in GLASOD erosion degree","1991","degrees","0.600",""
"99","Iceland","6709","Soil","7220","7220","Average land degradation in GLASOD erosion degree","1991","degrees","2.010",""
"99","Iceland","6709","Soil","7221","7221","Average carbon content in the topsoil as a % in weight","2008","%","2.360",""
"100","India","6709","Soil","7219","7219","Average soil erosion expressed in GLASOD erosion degree","1991","degrees","1.410",""
"100","India","6709","Soil","7220","7220","Average land degradation in GLASOD erosion degree","1991","degrees","1.640",""
"100","India","6709","Soil","7221","7221","Average carbon content in the topsoil as a % in weight","2008","%","0.880",""
"101","Indonesia","6709","Soil","7219","7219","Average soil erosion expressed in GLASOD erosion degree","1991","degrees","0.630",""
"101","Indonesia","6709","Soil","7220","7220","Average land degradation in GLASOD erosion degree","1991","degrees","2.510",""
"101","Indonesia","6709","Soil","7221","7221","Average carbon content in the topsoil as a % in weight","2008","%","5.210",""
"102","Iran (Islamic Republic of)","6709","Soil","7219","7219","Average soil erosion expressed in GLASOD erosion degree","1991","degrees","0.370",""
