code3,typeName,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
TCD,Refugees (incl. refugee-like status),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1900,1400,1500,1500,0,0,0,0,0,10000,221000,234260,17010,16744,181346,212158,170078,146858,130790,125864,184806,72319,66381,212932,211971,59727,58445,55025,61298,58797,54962,46294,47349,52275,52655,48400,36300,55722,55105,55014,53733,42640,39694,48640,48258,14940,14146
ROU,Refugees (incl. refugee-like status),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,60,90,90,70,70,0,0,60,0,772,854,1157,1211,962,2201,1024,1890,20247,45978,51282,27177,25118,23572,22278,16978,11871,8951,10921,8558,7348,6052,8847,8387,6045,11502,7234,5306,4756,4358,3934,3428,2807,2330,1918,1735,1190
CZE,Refugees (incl. refugee-like status),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,70,70,60,50,50,0,0,0,0,393,389,494,421,456,981,411,385,5649,5790,6123,4491,3327,5015,4648,2039,977,698,1934,1243,810,1179,6984,6702,4528,3589,2138,1384,1358,1067,817,763,622,991,1327,1285,1266
ESP,Refugees (incl. refugee-like status),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,680,670,650,390,210,140,510,0,0,0,5,3,52,602,62,62,1,60,0,0,0,0,0,0,42,36,218,215,60,53,80,48,58,53,49,49,2444,41,27,34,42,43,52,56,60,59,29
POL,Refugees (incl. refugee-like status),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,150,140,100,70,60,50,0,50,0,471,505,775,761,994,1655,1102,1475,23266,23072,25632,21643,14518,13390,35938,19732,12869,7294,1880,1245,865,3191,16712,15211,10680,19641,13513,2915,2391,2059,1764,1815,1640,1429,1310,1297,1144
BOL,Refugees (incl. refugee-like status),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1400,2930,1730,0,1650,90,60,0,0,0,170,101,271,1,1,1,1,1,2,28,731,67,28,41,177,180,177,161,183,174,175,156,219,264,285,269,374,428,454,573,590,611,618,601,600,571,515
LSO,Refugees (incl. refugee-like status),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,110,310,0,90,160,160,70,80,0,0,0,0,0,0,0,4,4,4,0,55,0,0,2,3,3,3,4,1,4,6,7,6,8,7,8,10,11,11,13,15,17,17,5
BRA,Refugees (incl. refugee-like status),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,2000,0,0,0,0,0,0,0,5,5,5,5,5,5,3,1,1,6,14,11,11,12,41,53,85,104,136,196,224,254,441,378,403,370,707,1624,1404,973,994,1045,1076,985,977,895,793
GIN,Refugees (incl. refugee-like status),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,300000,500000,3000,0,0,0,0,50,0,70,0,50,50,50,50,0,2,19,31,106,441,523,648,924,1151,1497,2019,3418,3871,4782,5820,6840,8278,9495,10920,11985,13161,14061,14561,15252,17005,17526
KHM,Refugees (incl. refugee-like status),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57000,55000,35000,0,18830,17200,76710,165120,51100,192843,135077,123398,91115,72468,67518,54848,48589,97758,75725,54364,43168,28851,9753,8538,61225,62244,103246,76576,38320,36855,34759,33456,31407,18115,17806,17965,17704,17253,17025,16314,15205,14024,13747,13071,12803,12408
TUR,Refugees (incl. refugee-like status),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,0,0,0,0,70,60,60,0,0,300,540,1040,810,852,1084,150,2764,5508,6452,10089,16768,28873,44866,50354,47341,45019,44012,47155,47090,193704,185098,174578,170567,227232,221939,214378,146387,146794,139779,135372,66575,63892,59558,57885
MMR,Refugees (incl. refugee-like status),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5700,0,0,0,0,0,160000,0,0,0,0,0,0,0,0,0,7,4,28,40053,245130,281574,204510,152298,143017,135772,133407,131663,137128,145856,148501,151384,161013,164864,202826,191313,184413,406669,415670,414626,415371,479606,479006,451805,490265
UGA,Refugees (incl. refugee-like status),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,950,2630,2510,3250,8000,8820,88710,224301,176691,271285,315346,293991,306060,238652,111071,21975,21358,58820,39386,32456,33415,31450,24166,28339,55241,13301,13937,32414,40141,40425,35247,31963,34225,21751,21341,7548,7554,6441,5680,5608,8176,7191,6316,6189
CHL,Refugees (incl. refugee-like status),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13550,15350,2670,3000,3130,3130,1505,1885,2483,1794,1552,2181,2434,1906,608,1201,14548,14007,14043,15267,15474,14273,12805,9776,7011,1543,860,834,1709,1555,1194,938,805,970,994,1312,1170,1189,1152,596,579,561,490
URY,Refugees (incl. refugee-like status),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000,570,1160,0,0,0,24,24,525,25,165,537,47,39,32,202,842,601,429,162,362,262,201,89,74,39,51,46,61,57,81,111,164,197,199,188,186,184,171,147,124,91,13
HTI,Refugees (incl. refugee-like status),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,300,3300,3800,5000,5000,5230,5440,6100,5120,5080,4699,3344,2092,1858,2486,3866,9803,13925,15118,15481,13538,8766,7561,7248,7718,7547,9208,13542,20837,22280,23066,24116,25892,33661,38568,38659,37162,34774,29661
TZA,Refugees (incl. refugee-like status),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,320,0,90,300,300,600,301,3001,501,501,501,1,0,2000,5,9,8,11,20,32,62,68,65,66,102,118,313,378,580,711,985,1549,1668,1255,1270,1204,1144,1163,1122,1040,858,820,554
ZWE,Refugees (incl. refugee-like status),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14720,31220,76520,163160,197640,160,190,0,3200,3760,4250,3230,3830,627,3,4,128,9,17,42,36,34,38,42,43,109,257,4030,7162,9568,11251,12781,14374,16841,22449,24089,25048,22101,19734,22492,21344,18116
GNQ,Refugees (incl. refugee-like status),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90000,90000,120000,90000,40000,38001,18001,18001,1,1,1,0,0,0,0,0,60,114,214,342,343,397,473,420,429,509,529,552,591,546,477,461,407,384,344,305,258,228,200,174,154,126
ESH,Refugees (incl. refugee-like status),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20000,35000,50000,50000,50000,50000,165000,165000,165000,165000,165000,165000,165000,165000,167190,165000,165000,165000,165000,166493,165000,166328,166099,165967,165868,165810,165910,165884,165729,165731,90652,90614,116594,116530,116474,116415,116413,116452,116504,116482,116547,116644
LAO,Refugees (incl. refugee-like status),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55510,62720,78970,119180,128770,105256,89990,80588,85043,86673,99303,91214,78894,135866,133496,135633,122326,96157,74501,54896,58193,46909,37367,29017,21396,16094,12631,11235,10363,16114,24442,26447,10013,8598,8398,8414,8088,7984,7745,7482,7363,7224
