code3,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
LBR,,,,10,,,,,,,,,,,,,
SOM,,,,1,,,,,0,,1,28,61,10,2,0,0
CAN,,,,1,,,,,,,,,0,,0,,
COM,,,,2,,,,,,,,,,9,27,4,0
FRA,,,,1,1,,,0,,,,,,,,,
POL,,,,3,,,,,,,,,,0,,,
SAU,,,,1,,,,,,,,,,,,,0
,,,,16,6,351,3,3,6,4,4,360,386,37,286,316,9
BDI,,,,2,,,,,1,1,0,,,,,,
KEN,,,,1,,,,1,2,0,,,,,,,
MWI,,,,1,,,,,,,,,,,,,
COG,,,,1,1,3,1,1,0,,,,,,2,1,6
TKM,,,,1,,,,,,,,,,,,1,*
AFG,,,,22,95,,112,118,122,55,181,209,210,173,129,162,116
AGO,,,,134,103,,48,68,78,43,69,50,48,37,18,12,13
ALB,,,,139,66,,45,95,101,49,77,71,91,127,187,275,382
ARG,,,,2,3,,,,,,1,1,1,,,,
ARM,,,,20,11,,9,20,13,15,21,15,13,14,8,9,*
AZE,,,,10,12,,5,6,3,1,5,5,6,7,1,1,*
BDI,,,,30,39,,19,23,22,6,32,20,26,17,11,5,8
BEN,,,,6,3,,7,9,4,14,13,13,20,27,22,7,5
BFA,,,,1,1,,1,2,2,0,3,1,1,2,1,0,0
BGD,,,,8,8,,4,27,58,36,96,73,66,95,145,335,221
BGR,,,,9,1,,1,2,0,,,,,,0,0,
BIH,,,,11,6,,1,2,1,0,3,3,4,1,2,3,*
BLR,,,,42,27,,33,28,30,12,24,19,28,15,5,3,*
BRA,,,,12,6,,4,7,11,1,10,14,14,13,10,4,33
,,,,1,1,,1,4,2,,1,0,,,0,0,0
CAN,,,,1,,,1,2,1,0,,,,,,1,*
CHN,,,,123,34,,49,110,79,48,94,79,82,84,50,39,16
,,,,68,31,,21,32,42,17,39,37,38,31,21,11,7
CMR,,,,151,106,,77,80,79,65,125,110,107,99,63,42,24
COD,,,,364,258,,158,207,251,173,363,243,268,269,253,195,174
COG,,,,22,32,,20,30,23,15,60,52,53,44,26,11,5
CUB,,,,2,1,,1,2,2,1,2,2,2,1,1,3,*
CZE,,,,125,1,,,,,,,,,,0,0,
DOM,,,,2,,,,,,,,,,,,,
DZA,,,,88,69,,43,45,70,47,109,127,143,146,152,153,142
ECU,,,,1,,,,,,,,,,,0,0,0
EGY,,,,13,3,,3,8,23,15,20,30,29,30,21,25,12
ERI,,,,21,31,,35,51,53,23,43,42,40,47,23,11,5
EST,,,,22,3,,,,,,,,,,0,0,
ETH,,,,14,30,,29,33,17,12,31,32,35,29,20,18,6
FJI,,,,1,1,,,,,0,1,1,1,1,0,,
GAB,,,,1,,,1,1,0,,,,,,,,
GBR,,,,2,,,1,1,1,,,,,,0,,
GEO,,,,160,146,,135,179,214,52,199,177,172,159,76,75,91
GHA,,,,156,47,,72,96,102,82,197,162,128,119,61,48,34
GIN,,,,17,31,,33,34,33,28,43,37,38,36,15,10,5
GMB,,,,10,7,,5,7,5,1,10,9,9,5,7,6,*
HRV,,,,195,163,,32,29,23,9,15,14,14,0,0,0,
HUN,,,,3,1,,,,,,,,,,0,0,
IDN,,,,1,,,,,,,,,,,0,2,*
IND,,,,8,2,,9,21,18,15,31,24,27,34,21,132,81
IRN,,,,35,72,,137,114,113,47,109,81,93,78,53,35,13
IRQ,,,,197,35,,119,206,165,75,123,113,120,102,52,42,80
ISR,,,,57,19,,44,27,20,7,39,34,19,7,8,8,*
ITA,,,,1,,,,,,,,,,,,,
JAM,,,,8,3,,3,3,1,0,2,2,3,1,1,0,0
JOR,,,,3,1,,2,5,4,2,4,4,5,4,4,1,*
KAZ,,,,52,23,,8,3,3,0,5,6,5,3,2,0,0
KEN,,,,78,53,,44,58,55,29,72,66,61,37,21,11,*
KGZ,,,,12,8,,1,5,3,1,7,3,3,1,1,1,6
,,,,1,,,,,,0,1,1,1,,0,2,
KWT,,,,1,11,,38,34,17,10,19,21,23,21,17,17,9
LBN,,,,10,8,,9,8,6,6,17,11,17,4,3,4,*
LBR,,,,83,49,,33,26,24,10,62,64,60,51,21,14,8
LBY,,,,4,8,,7,7,9,4,12,13,18,12,14,44,46
LKA,,,,3,6,,9,15,18,15,19,16,18,16,8,12,9
LTU,,,,65,2,,1,0,,,,,,,0,0,
LVA,,,,11,,,,,,,,,,,0,0,
MAR,,,,8,7,,10,15,18,6,12,12,14,19,12,6,10
MDA,,,,209,79,,69,105,85,30,89,102,108,74,40,23,7
,,,,12,4,,4,2,1,1,2,1,1,1,1,1,*
MLI,,,,1,,,2,3,4,0,1,1,1,1,2,1,0
MMR,,,,1,5,,1,2,9,4,11,12,18,8,4,6,*
MNG,,,,4,5,,5,8,10,4,14,11,11,7,4,5,*
MOZ,,,,4,3,,2,1,0,,1,1,1,1,2,2,*
MRT,,,,3,1,,,1,2,1,2,2,3,2,1,0,0
MUS,,,,1,1,,,12,16,10,27,27,32,28,35,48,36
MWI,,,,11,3,,7,13,23,20,46,57,61,81,116,165,184
NAM,,,,1,,,,,,,,,0,0,0,0,*
NGA,,,,2592,737,,858,1182,1215,801,924,692,705,845,614,507,411
NPL,,,,2,13,,9,8,10,4,24,29,32,24,13,19,14
PAK,,,,71,59,,142,223,297,179,398,368,320,358,459,1329,758
PER,,,,1,,,,,1,1,1,0,,,0,,
PHL,,,,3,,,,,,1,2,2,3,5,5,2,0
POL,,,,95,2,,1,0,,,,,,,0,0,
PRT,,,,1,1,,,,,,,,,,,,
PSE,,,,33,32,,34,47,39,24,30,27,29,17,10,9,13
ROU,,,,477,95,,50,14,6,1,1,1,0,,1,0,
RUS,,,,148,79,,56,64,45,33,51,57,51,54,16,18,21
RWA,,,,32,37,,15,18,16,9,19,27,18,25,20,18,10
SDN,,,,72,147,,208,188,167,103,194,183,179,157,75,49,23
SLE,,,,51,28,,20,37,36,34,48,36,34,37,20,17,23
SLV,,,,1,,,,,,,,,,,,1,0
SOM,,,,188,230,,161,161,181,155,206,190,172,97,58,31,31
,,,,139,71,,42,50,44,23,48,58,62,51,22,36,21
SVK,,,,16,3,,,,,,,,,,0,0,
SWZ,,,,1,,,,0,3,2,6,6,7,6,12,10,6
SYC,,,,1,,,,1,1,1,0,,,,1,1,*
SYR,,,,16,18,,12,13,16,6,10,18,15,15,11,51,136
TCD,,,,4,4,,4,3,4,3,5,3,3,5,3,2,*
TGO,,,,64,41,,39,36,38,14,45,43,47,31,12,14,8
TJK,,,,3,,,,0,,,1,1,1,,0,0,0
TKM,,,,4,1,,,,,,,,0,,0,,
TUN,,,,2,,,,2,1,1,0,,1,0,1,4,5
TUR,,,,18,13,,7,7,9,5,7,8,7,9,5,4,*
UGA,,,,30,33,,21,36,56,51,68,53,54,46,34,14,14
UKR,,,,173,104,,31,40,41,7,32,41,39,41,59,91,70
USA,,,,2,,,,2,2,1,2,2,2,1,0,,*
UZB,,,,12,17,,9,7,5,0,2,2,2,0,1,1,*
,,,,2,,,,2,4,0,3,4,3,1,20,32,30
,,,,44,15,,1,6,3,0,,5,5,0,0,0,0
YEM,,,,4,4,,1,0,1,0,10,3,3,5,4,0,9
ZAF,,,,95,29,,32,25,40,25,56,64,57,86,108,118,168
ZMB,,,,1,2,,,0,,0,2,2,2,2,1,2,*
ZWE,,,,99,73,,65,102,147,118,193,225,250,242,263,251,336
PSE,,,,1,,,,,,,,,,,,,
ERI,,,,1,,1,,1,0,0,0,2,2,6,5,0,0
LBR,,,,1,,1,1,0,1,0,0,2,1,0,,,
LKA,,,,2,,,,2,1,0,,,,,0,0,0
UKR,,,,1,,2,3,0,1,1,0,,0,,10,2,*
UZB,,,,2,2,,,1,0,,,,0,,0,0,0
,,,,703,,,,27,56,908,,2237,5612,4760,5558,11677,11677
COD,,,,6,5,,1,1,4,0,,0,,,,,
,,,,1,1,,,1,0,0,,2,2,2,5,4,
COD,,,,3,1,1,4,6,13,22,23,12,18,18,26,34,0
COL,,,,1,,,2,0,4,0,0,1,0,,,2,
EST,,,,1,,,,,,,,,,,,,
GHA,,,,1,1,1,1,1,4,2,9,9,84,48,63,256,161
GMB,,,,1,,,,,,,,1,1,1,5,4,
GNB,,,,1,3,1,1,1,1,1,1,2,2,2,2,,
IDN,,,,4,2,,,,,,3,1,10,5,5,854,1726
ISR,,,,1,,,,,,,0,0,,,,,
NPL,,,,1,1,2,10,5,13,24,102,300,496,856,1870,3096,4144
PHL,,,,6,,4,4,0,2,1,6,3,5,5,40,392,1202
RUS,,,,4,,2,2,7,6,6,3,1,2,2,4,7,
UGA,,,,1,,1,3,1,10,41,33,17,13,12,36,107,54
VNM,,,,1,2,,,2,6,4,3,2,2,0,105,582,846
PAK,,,,1,,,,,,,0,,,,,,
BGD,,,,3,2,2,2,0,,,,,,,,,
,,,,1,2,2,2,0,,,,,,,1,4,5
NAM,,,,5,4,4,4,0,,,,,,,,,
SAU,,,,2,3,1,1,0,,,,,,,2,2,*
ZWE,,,,1,2,2,2,4,11,7,2,0,1,2,2,3,*
IRN,,,,5,2,10,14,14,13,10,15,10,10,12,0,3,*
IRQ,,,,4,,,,3,3,2,0,0,1,0,,3,
LKA,,,,5,,,,,,,,,,,,,
BGD,,,,1,,,,,,,,1,0,,,,
MMR,,,,1,,,,2,5,15,42,37,15,2,3,3,*
BDI,,,,1,1,,,1,1,1,0,,,2,12,15,18
BLR,,,,2,,2,,,,,,,,,,,
,,,,2,1,41,50,48,51,11,4,8,9,24,23,25,23
NPL,,,,1,3,11,86,347,295,2,2,16,48,111,96,127,174
TGO,,,,1,1,3,3,3,3,0,0,,3,5,6,3,*
UGA,,,,1,9,52,55,94,102,9,15,78,94,83,124,138,148
VNM,,,,2,2,3,3,0,,,,,,1,1,81,119
SLE,,,,6,6,6,,,,,,,,,,,
SAU,,,,2,,,,,,1,0,,7,0,4,2,13
AGO,,,,1,,,1,,,,,,,,,,
ERI,,,,4,48,48,311,449,1141,1443,1624,1347,1213,3016,4234,4203,4200
ETH,,,,1,61,61,155,199,219,79,126,87,72,457,460,455,462
SLE,,,,9,,,17,38,31,9,1,1,1,1,1,1,*
TCD,,,,3,15,15,51,65,546,248,25,25,25,50,51,51,54
SAU,,,,1,,,,,,,,,,,,,
TJK,,,,1,,,,,,,,,,,,,
MDV,,,,1,3,2,2,1,1,0,2,2,31,19,4,3,*
BLR,,,,1,1,3,3,2,4,5,3,6,1,1,4,6,6
MDA,,,,1,,,,0,,,1,0,0,,,,
PSE,,,,9,,,,,,,,,,,,,
YEM,,,,1,,,,,,,,,,,0,0,0
AGO,,,,1,1,4,5,6,9,0,4,1,2,8,6,2,*
SYR,,,,1,1,,,,,,,5,842,0,0,0,0
EGY,,,,1,3,4,1,2,0,,,1,3,1,0,1,0
JOR,,,,2,14,9,11,6,2,0,2,0,1,0,1,0,0
,,,,1,1,5,1,1,0,,,,,,,,
YEM,,,,1,,,,1,0,,0,,,1,0,0,*
BLZ,,,,1,,,,,,0,2,2,2,3,3,3,*
CHN,,,,3,,7,,0,0,15,1,6,,1,1,1,*
CRI,,,,2,,,,,,,,1,1,3,4,3,*
ERI,,,,2,29,15,11,1,0,,0,0,0,0,4,0,*
ETH,,,,9,10,15,6,2,0,1,0,,2,2,3,2,*
GNB,,,,2,,,,,,,,,,,,,
GTM,,,,12,17,12,11,0,2,1,24,55,29,66,118,66,124
HND,,,,9,16,2,22,8,3,10,18,147,78,479,1247,481,1022
HTI,,,,6,10,6,1,4,1,10,2,30,15,28,52,28,56
LBR,,,,4,3,2,3,0,,0,,1,,,,,
NIC,,,,2,4,1,3,1,0,0,1,6,5,25,49,25,35
PER,,,,2,,1,,0,0,0,3,1,3,4,0,0,0
SLV,,,,1,12,2,22,6,10,14,27,130,65,274,692,274,764
SOM,,,,1,8,6,13,5,0,0,,,1,3,7,3,*
,,,,5,1,1,,0,0,,2,3,4,4,45,4,116
,,,,5,4,12,11,11,13,15,15,15,1,19,367,221,134
LBR,,,,4,3,6,2,5,8,49,42,26,0,1,0,1,0
MDA,,,,1,,,,,,,,,,,,,
RUS,,,,1,,,,,,0,,,,,0,0,*
SLE,,,,1,,3,2,3,0,11,4,8,1,3,0,,*
TCD,,,,2,,1,,0,2,2,5,4,2,0,0,0,*
TCD,,,,1,2,,,1,2,0,1,1,4,0,0,4,*
,,,,2,1,,,,,,,,,,,,
,,,,3,3,12,27,32,18,8,7,3,3,2,2,2,*
COG,,,,7,7,1,7,13,8,7,9,8,8,4,4,,
ETH,,,,1,2,1,2,3,3,2,1,2,1,1,6,5,8
KHM,,,,2,79,346,314,196,42,34,9,7,0,1,2,5,19
LBR,,,,36,110,172,153,80,13,5,7,11,7,7,8,3,13
LBY,,,,6,6,,,,,,,,,,,5,16
MAR,,,,1,4,2,2,0,,,,1,1,0,0,,
PAK,,,,11,40,58,56,55,54,73,51,161,315,503,860,1178,1657
RUS,,,,1,6,6,1,0,0,1,1,0,,,2,8,6
RWA,,,,4,3,1,1,0,,,,,,,0,0,
SYR,,,,1,2,1,1,1,0,1,5,8,83,720,530,829,988
VNM,,,,1,9,64,75,60,31,19,4,5,1,0,0,1,0
,,,,2,,,,1,1,1,1,1,2,2,0,,
GIN,,,,1,,,,1,0,,2,2,1,1,0,,
TGO,,,,1,1,2,,0,,,,0,,,0,1,*
GHA,,,,1,2,2,,1,2,1,3,4,2,0,1,1,*
GIN,,,,1,1,7,9,6,12,12,19,26,18,7,5,3,5
LKA,,,,1,1,1,,,,,,,,0,0,0,0
DOM,,,,1,1,,,0,0,0,0,,,,0,,
ESP,,,,1,2,,,,0,0,,0,,0,0,,
HND,,,,1,,,,,,,0,0,0,,0,2,5
MEX,,,,1,2,,1,0,,2,1,0,0,0,2,2,*
PRT,,,,2,1,,,0,,,,,,,,,
SGP,,,,1,,,,,,,,,,,,,
SWZ,,,,1,1,,,,,0,,,0,,0,0,0
EGY,,,,1,,,,,,0,,,,0,0,,
IRN,,,,3,3,,4,3,1,2,0,0,0,0,0,0,0
NER,,,,5,,,,,,,,,,,,,
SOM,,,,2,1,1,54,55,10,1,0,3,1,0,1,0,9
AFG,,,,11,6,5,1,4,4,4,14,16,15,2,1,7,5
AGO,,,,1,1,,,,1,0,,,,,0,,
ALB,,,,9,8,,,,0,0,,,,,0,0,0
ARM,,,,1,,,,,,,,,,,,,
BGD,,,,23,40,19,14,9,7,3,3,6,10,1,0,7,7
BGR,,,,6,5,6,,,,,0,1,1,0,0,3,
BOL,,,,2,,,1,3,1,1,0,,,,,1,0
BRA,,,,4,4,6,,1,,5,3,0,,0,2,2,6
CHL,,,,30,40,6,,,,0,,3,2,0,0,2,0
CHN,,,,29,32,8,16,11,15,13,13,14,21,11,9,10,47
COG,,,,8,4,,2,0,1,3,1,2,0,,0,0,0
COL,,,,7,3,2,1,0,2,3,2,1,0,0,2,3,6
CZE,,,,73,58,35,13,5,10,16,14,6,8,0,0,0,*
DZA,,,,7,4,1,1,2,2,2,0,,0,,0,0,0
EGY,,,,3,2,7,1,2,2,5,3,18,4,6,0,4,*
ERI,,,,6,,2,,,1,0,1,0,,,0,0,*
ETH,,,,5,3,7,2,0,0,1,2,0,3,0,0,2,*
FJI,,,,8,5,14,10,5,1,28,22,12,5,4,16,12,*
FRA,,,,1,,,,,,1,0,,,,,,
GHA,,,,2,,,,,2,1,0,0,1,0,1,,
GRC,,,,1,,,,,,,,,,,,,
HUN,,,,12,10,8,7,1,0,,1,11,5,0,3,2,8
IND,,,,74,107,22,12,5,8,22,1,1,8,2,3,4,6
IRN,,,,62,88,75,34,39,37,26,34,32,28,2,2,8,5
IRQ,,,,33,23,20,9,14,4,13,5,6,2,5,2,4,5
ISR,,,,2,5,2,6,1,1,0,1,0,0,,0,2,0
JOR,,,,14,26,2,,,0,,1,2,4,2,1,1,5
KHM,,,,4,2,,,1,0,,,,,,0,,
KWT,,,,4,2,2,,0,,1,1,0,,,0,0,0
,,,,2,2,1,,,,,,,,,,,
LBN,,,,3,3,,,,0,1,0,2,0,1,0,0,*
LKA,,,,57,58,21,31,18,12,22,16,14,21,19,8,18,8
LTU,,,,1,,,,,,,2,2,2,1,0,,
MAR,,,,3,1,,,,,,,,,,,,*
,,,,2,1,,,,,,,,,,1,,
MMR,,,,5,11,8,3,0,2,1,3,2,2,2,0,1,0
MYS,,,,15,8,7,,1,1,0,2,0,4,1,1,2,*
NGA,,,,6,10,6,3,2,0,2,1,2,1,0,0,1,0
NPL,,,,7,11,20,5,1,5,0,4,1,4,3,2,0,0
PAK,,,,12,17,6,8,1,2,14,4,21,30,6,7,12,*
PER,,,,5,6,1,1,0,,,,,,,,,
PSE,,,,5,7,,1,1,0,5,1,1,1,6,0,0,0
RUS,,,,12,5,,2,1,0,1,2,1,1,0,1,1,*
SDN,,,,4,10,2,2,1,0,3,0,,2,0,1,0,0
SLB,,,,3,,,,,,,,,,,0,,
SLE,,,,3,1,2,,0,0,,,,,,,,
,,,,6,7,,,,,,,,,,0,,
SYR,,,,4,16,10,2,3,2,2,4,2,3,7,6,3,*
THA,,,,30,4,,,,0,,,0,,,0,0,*
TUR,,,,9,4,2,3,3,5,2,1,3,7,9,1,0,7
UGA,,,,2,2,3,,1,1,0,2,2,1,,1,6,0
UKR,,,,1,1,,1,0,0,,,,,,1,0,0
USA,,,,1,,,,1,0,,,2,3,1,0,,
UZB,,,,1,1,1,,,,,,0,0,,1,0,0
VNM,,,,12,11,7,,1,0,1,0,1,1,3,1,1,0
,,,,1,1,1,,1,1,0,0,,,,2,2,0
ZAF,,,,2,12,2,2,3,4,4,17,9,2,1,0,13,8
ZMB,,,,1,1,,,,,,1,,,,0,,
ZWE,,,,26,21,12,4,5,1,4,4,5,1,1,3,1,5
AFG,,,,12759,7164,2765,2091,2518,2535,2189,1946,1543,3220,5323,5460,6358,4447
BOL,,,,1,1,1,,1,1,2,5,3,3,2,2,1,*
CHN,,,,2,,,,1,1,1,1,,,1,0,4,*
,,,,3,1,1,1,3,1,7,9,4,6,7,53,112,3553
AFG,,,,1,,,,,,2,2,2,0,0,0,1,*
EGY,,,,1,,,,,,,,,,,0,2,
JOR,,,,1,1,,,,,,,,,,,,
PSE,,,,1,,,,,,,,,,,1,,
VNM,,,,3,3,3,1,1,1,0,,,,79,0,4,
COD,,,,2,4,3,4,1,2,2,3,6,4,3,0,0,*
COG,,,,2,2,1,3,2,4,3,6,11,2,1,2,7,*
ISR,,,,1,,,,,,,,,,0,,,
LBR,,,,3,,,,0,0,,,1,0,,0,,
MMR,,,,1,,,,1,0,,,,0,,0,,
ROU,,,,1,,,,,,,0,,,0,0,,
SVK,,,,5,,,,,,,,7,8,7,0,,
TKM,,,,1,,,2,0,1,0,0,6,4,4,10,0,0
UZB,,,,3,3,1,2,7,10,14,23,15,14,9,7,14,16
IRN,,,,1,1,,,,,,,,,,,,
LKA,,,,1,,,,,,,1,2,2,0,,,
PAK,,,,15,,,4,4,4,4,0,,1,1,0,0,0
PSE,,,,15,7,7,7,7,0,,,,1,0,,,
SYR,,,,1,3,2,2,2,0,,,,1,0,0,0,*
AFG,,,,3,1,1,,1,2,27,28,57,2,19,39,41,*
AGO,,,,1,,,,0,,,,0,0,0,0,0,0
CMR,,,,1,1,2,5,1,15,20,29,32,1,2,5,9,*
COD,,,,2,4,3,6,0,0,18,15,19,0,0,1,6,*
COG,,,,7,,,4,3,4,4,5,9,0,0,1,1,0
COL,,,,1,1,2,,0,,,0,0,,1,0,0,0
EGY,,,,7,4,,2,0,1,7,6,5,4,2,10,11,0
ETH,,,,6,,1,1,1,1,1,0,0,0,0,2,2,0
GIN,,,,2,,,1,2,7,4,2,2,0,1,0,2,0
IND,,,,17,17,15,1,0,18,11,11,19,0,2,2,6,0
JOR,,,,2,2,3,10,3,4,1,2,3,0,0,4,3,0
KEN,,,,1,,,,,0,0,,,0,0,0,0,0
LBN,,,,5,7,6,6,0,0,1,2,0,0,1,2,4,0
LBR,,,,3,8,,,0,0,,,0,,,0,0,0
LBY,,,,1,3,5,1,0,0,,,7,0,0,1,0,0
MDA,,,,1,7,9,4,3,7,24,17,30,0,1,1,3,*
SDN,,,,5,6,9,,1,0,4,5,6,0,0,2,1,0
SOM,,,,11,18,23,21,14,14,1,10,30,0,0,3,6,5
,,,,4,,1,2,13,2,1,2,3,0,0,2,2,*
TUN,,,,1,3,5,3,1,1,0,2,36,0,0,3,2,
UKR,,,,1,2,1,3,1,0,3,3,6,0,1,9,9,*
ZAF,,,,2,,,,,,,,,,0,0,,
BDI,,,,3,,,,2,1,1,0,,,,,,
SLE,,,,1,,1,1,0,,,,,,,,,
LBR,,,,1,1,,,,,1,0,,,,,,
SLE,,,,1,1,,,,,,,,,,,,
ERI,,,,20,13,10,12,18,4,1,2,0,,0,0,4,*
IRN,,,,1,1,,,,,,,,,,,,
LBR,,,,17,30,30,30,30,0,0,,,,,0,0,0
MMR,,,,15,18,9,19,19,10,0,,,,,0,,
PAK,,,,4,4,,,1,1,1,0,,,,0,,
YEM,,,,1,,1,5,5,5,0,,0,1,1,1,0,0
,,,,1,1,1,,,2,2,0,3,2,2,3,5,5
COD,,,,14,1,1,,,4,4,2,734,810,865,736,740,748
LBR,,,,1,1,1,,,,1,30,24,2,1,3,1,*
NGA,,,,2,2,2,,,,,16,19,1,1,3,12,11
SOM,,,,18,2,4,51,278,109,105,107,100,103,104,39,71,126
TCD,,,,3,3,3,,0,1,12,15,20,2,2,3,5,5
TUN,,,,1,1,1,1,0,1,,,,,,0,0,0
CHN,,,,1,,,,5,0,,,,,,0,0,0
AFG,,,,2,1,,,,,,,,,,,,
COD,,,,1,,8,,,,,,,,,,,
IRQ,,,,2,2,,1,0,0,,,,,,,,0
RWA,,,,1,1,,,,,,,,,,,,
UGA,,,,1,,,,2,2,0,,,,,1,1,*
,,,,10,10,,,,,12,7,21,6,10,12,0,
JOR,,,,1,,,,,,,,,,,,,
ALB,,,,1,,,,0,0,0,,,,,0,,
BEN,,,,1,,,,,,,,0,0,,0,,
DMA,,,,1,,,,,,,,,,,,,
GIN,,,,1,,,,,0,,0,0,0,0,,,
GMB,,,,1,1,1,1,0,,,,,0,,0,,
ISR,,,,1,,,1,0,,0,,,,,,,
LBR,,,,5,6,3,3,0,,0,,,,,,,
LTU,,,,1,1,1,1,0,,,,,,,,,
MNG,,,,2,3,3,3,0,,0,,0,0,0,0,,
SEN,,,,5,2,,,,0,,,,0,,0,0,0
TCD,,,,2,1,,,,,,,,,,,,
TKM,,,,2,,,,,,,,,,,,,
EGY,,,,1,1,,,,,,,2,0,2,0,2,*
CAN,,,,1,,,,0,2,0,0,2,1,2,6,5,*
DEU,,,,2,1,1,,0,0,1,0,0,0,0,0,1,*
ESP,,,,1,1,,,,1,0,0,1,3,3,5,6,8
FJI,,,,1,,2,,,,,,,0,,,,
GAB,,,,3,,,,2,1,1,0,,0,,,,
GNQ,,,,2,1,1,1,0,1,2,1,2,2,6,0,1,6
HTI,,,,3,2,1,,,2,1,3,2,1,1,1,1,*
KHM,,,,5,3,5,1,3,0,,,1,0,,1,2,*
,,,,5,11,1,1,0,,,,,,,0,,
MDG,,,,1,,,,,1,1,1,1,0,3,3,,
MWI,,,,1,,,,,0,0,2,0,0,,1,0,0
NLD,,,,3,,,1,3,0,,0,0,0,0,1,3,*
PSE,,,,1,,,,,,,,,,,31,496,474
BGR,,,,4,4,,,,,,,,,,0,,
GIN,,,,1,1,,,,1,1,,,1,1,0,0,0
KWT,,,,1,,3,19,21,1,2,1,17,13,0,0,0,0
LBR,,,,1,4,5,7,4,0,,,,,,,,
MRT,,,,1,,3,3,3,2,5,1,0,1,1,1,,
,,,,5,,,,1,1,1,1,12,14,14,14,14,0
ETH,,,,3,,2,,,,,,,2,5,9,13,6
KHM,,,,1,,,,,,,,,,,,,
MRT,,,,1,,,,,,,,1,1,1,1,1,
SLE,,,,7,,,,,,,,,,,,,
SOM,,,,15,,,,,0,1,12,22,22,23,24,24,*
TGO,,,,2,,16,,1,1,1,0,0,0,,0,0,0
BEN,,,,2,2,2,2,0,,,,0,,,,,*
GHA,,,,1,1,1,,,134,0,,5,5,0,0,1,*
GIN,,,,4,20,20,20,1,1,2,2,0,,,,,
MRT,,,,1,2,2,2,0,,,,,,,,,
TCD,,,,3,1,1,7,6,7,3,3,3,2,3,3,4,5
AGO,,,,1,1,,,,,,,,2,2,2,2,*
BDI,,,,1,,,2,1,0,1,1,4,0,,,,0
BGD,,,,2,2,,,1,4,0,7,9,1,2,3,9,*
BHR,,,,1,1,,,,,,,,0,,5,2,*
,,,,11,1,2,7,2,11,4,5,8,4,3,4,3,*
CMR,,,,3,2,1,3,4,3,6,3,11,6,9,15,10,*
COD,,,,13,14,17,31,10,20,38,58,59,33,13,16,21,11
COG,,,,33,5,,,,,0,,,,,,,
DZA,,,,1,2,,,0,,2,1,0,,,,,
EGY,,,,2,3,,,3,3,1,1,7,4,14,16,13,22
ERI,,,,1,3,,1,0,0,,,,1,0,6,7,*
ETH,,,,4,3,,3,9,0,4,4,6,2,3,19,24,31
GHA,,,,5,,,,,1,0,1,2,0,,,,
GIN,,,,5,6,1,2,3,1,13,19,18,4,1,4,3,12
IDN,,,,3,5,1,,,,,,,1,1,0,,
IND,,,,16,15,3,2,0,6,2,3,1,4,2,21,25,25
KEN,,,,4,1,,1,0,1,0,1,0,,,2,1,*
,,,,23,145,97,114,81,81,75,8,8,0,1,1,3,7
LBR,,,,83,32,5,1,0,1,3,17,15,0,2,78,9,*
LSO,,,,1,,,,,,,,,,,,,
NGA,,,,59,17,8,6,6,1,1,4,1,2,3,6,12,12
NPL,,,,13,36,67,45,24,3,12,6,10,10,8,8,10,9
PAK,,,,17,9,2,3,18,14,292,395,94,419,1500,4817,4712,2648
RWA,,,,2,1,,,4,2,0,,,,1,1,1,
SDN,,,,4,3,2,2,0,0,5,2,0,2,21,24,20,*
SLE,,,,19,12,7,2,1,5,16,4,2,0,,18,7,*
TUR,,,,1,,,,,,,1,0,,,,,
UGA,,,,5,5,4,2,0,,,6,0,5,1,2,0,
,,,,1,,,,0,,,,,1,0,0,0,0
YEM,,,,1,1,,,0,,,1,2,1,1,9,25,10
ZWE,,,,2,4,1,2,0,,,,,,,0,,
CHN,,,,2,,,,,,,,,,,,,
IDN,,,,7,8,8,1,1,1,1,1,1,1,1,0,0,0
COD,,,,1,2,3,1,0,,5,4,4,4,1,6,2,0
GIN,,,,1,,,3,24,12,26,26,13,12,15,15,18,13
KWT,,,,3,3,3,3,3,3,3,3,4,1,1,2,2,9
MAR,,,,6,,4,15,9,6,5,19,17,25,60,68,63,67
OMN,,,,1,1,,,,,,,,1,0,0,1,
NGA,,,,1,1,1,,,,,,,,,0,,0
BGD,,,,100,78,137,87,105,72,83,91,103,117,114,120,134,126
CHN,,,,28,26,,9,1,2,3,3,4,4,4,7,8,11
,,,,2,2,2,8,10,7,10,11,21,32,33,34,30,32
DZA,,,,1,4,2,1,5,3,5,6,4,7,7,11,15,14
ERI,,,,1,2,1,6,5,3,3,5,6,22,28,33,28,25
ESH,,,,1,1,1,1,0,1,1,1,2,3,3,3,5,5
ETH,,,,8,49,15,12,9,8,8,9,8,10,10,17,28,33
GNB,,,,2,6,4,4,1,0,3,4,2,2,2,3,3,*
IND,,,,99,147,271,84,79,23,25,29,33,36,39,39,41,42
KGZ,,,,4,,1,1,5,1,1,198,75,127,140,155,173,152
LBN,,,,7,14,2,5,7,7,12,18,21,25,24,27,22,25
LBR,,,,2,5,6,5,3,5,7,10,14,16,17,19,19,19
NER,,,,1,2,1,,,0,,,,,,,,
NGA,,,,21,42,26,18,21,22,28,46,63,78,80,79,82,77
PAK,,,,22,91,153,90,160,66,104,127,154,174,177,186,195,193
POL,,,,2,2,1,,3,0,0,,,1,0,0,,
