code3,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
KGZ,15,22,9,3,,2,4,0,0,,2,2,2,,7,18,15
KHM,37,18,15,8,,4,8,1,6,1,4,20,21,24,57,57,119
,64,157,179,30,2,39,18,25,45,20,40,37,60,89,157,111,87
KWT,8,3,4,2,,,,0,0,3,4,2,7,3,4,9,5
,9,14,12,6,,2,1,0,,1,1,0,,2,5,4,17
LBN,164,246,175,49,19,33,42,29,40,56,134,131,310,359,539,325,399
LBR,3,2,,,,2,2,1,5,2,0,3,12,10,19,16,24
LBY,1,3,6,6,,2,,,0,0,12,164,200,313,431,401,285
LKA,528,532,310,131,39,185,195,140,184,230,253,270,2309,1890,3260,2173,2370
LTU,13,19,28,12,,,2,0,0,,2,1,1,1,0,,
LVA,21,25,12,8,,2,1,1,1,1,1,0,2,1,9,5,*
MAR,4,5,5,3,,7,4,0,1,0,0,1,6,5,1,3,8
MDA,48,37,22,8,,,,1,0,,,,2,1,3,3,
MDV,1,,,,,,,,,,,0,1,5,2,3,17
MEX,1,,1,,,,,0,0,,,1,1,1,5,10,13
,83,124,32,13,2,3,1,1,0,3,2,6,1,2,5,9,15
MLI,2,1,,,,,,0,0,,,1,6,1,0,3,*
MMR,156,145,83,25,7,17,14,21,41,24,34,37,60,74,83,69,91
MNG,27,76,80,6,2,10,6,7,1,7,7,9,12,23,59,41,48
MOZ,1,1,,,,,1,1,0,,,0,1,1,0,0,0
MRT,1,5,1,,,,,,,,,,,,1,,*
MUS,6,4,1,,,,,,,1,9,27,16,16,32,42,42
MWI,1,,,1,,,,1,0,,0,0,1,1,5,4,*
MYS,104,109,78,57,20,58,33,56,56,74,86,74,103,169,741,2549,5793
NGA,108,120,56,43,3,16,9,13,22,16,18,57,78,103,161,161,51
NIC,1,1,,,,,,,,,,,,,4,1,*
NLD,1,,,,,,,0,0,,1,1,1,0,0,1,5
NPL,181,203,59,45,23,40,30,24,17,29,100,223,185,300,493,329,287
PAK,252,238,161,51,94,68,34,65,86,123,320,568,1098,1375,1989,1605,1930
PER,56,93,57,4,,,,2,5,2,2,12,5,14,32,21,22
PHL,141,75,19,19,20,15,20,8,8,18,15,41,48,52,95,91,138
PNG,3,2,7,8,,17,7,19,12,9,41,46,83,144,213,176,261
POL,9,15,26,8,,,1,1,0,1,3,1,1,3,5,7,6
PRK,4,,1,1,,1,2,2,19,8,33,6,8,1,8,2,5
PRT,6,8,10,4,,2,1,0,0,3,0,,5,2,0,,
PRY,1,2,1,,,,,,,,,,,,,,
PSE,93,54,19,4,,11,5,10,8,19,27,38,159,84,87,87,110
QAT,1,1,,,,,,,,,0,0,,,,3,*
ROU,25,33,21,16,4,2,2,2,0,5,1,6,4,2,9,11,11
RUS,180,179,99,11,5,13,2,3,8,2,6,8,12,28,51,40,36
RWA,6,8,5,4,,,,2,10,3,2,3,12,21,50,55,42
SAU,1,2,,,,,,1,0,1,3,15,25,18,49,46,65
SDN,15,12,3,5,,4,3,6,7,9,6,9,14,19,44,46,190
SEN,7,5,5,1,,,,0,0,0,1,1,2,0,0,0,0
SGP,12,2,,2,,2,1,1,0,1,1,4,11,9,7,15,10
SLB,19,12,3,3,,1,1,0,,,0,3,2,7,16,32,73
SLE,20,19,4,2,,2,1,0,10,9,5,1,4,9,16,16,20
SLV,5,5,4,3,,1,,0,2,0,2,4,1,3,5,11,14
SOM,18,14,12,9,,3,3,4,8,11,15,21,26,39,55,54,114
,126,64,23,108,144,9,2,3,1,1,2,1,2,3,6,6,9
SVN,3,1,1,1,,4,,,,,,,,,,1,
SYR,61,48,20,19,2,3,9,2,11,7,18,66,74,139,174,133,136
TGO,1,,,,,,,,4,0,,0,,2,3,3,*
THA,97,63,153,42,5,30,21,5,3,5,17,8,20,16,38,124,248
TJK,1,1,1,,,,,,,,,1,0,1,2,3,*
TLS,19,20,513,5,,2,8,2,1,0,1,0,1,3,7,3,0
TON,13,40,54,31,3,4,6,2,6,7,9,21,39,61,82,56,72
TUN,11,7,4,,,,,0,0,0,0,0,1,2,7,4,*
TUR,92,134,66,51,10,29,11,25,20,34,99,105,104,133,226,175,276
TZA,7,10,3,4,,2,1,4,0,1,2,1,2,7,16,13,6
UGA,12,12,5,8,,5,2,4,11,2,5,17,19,11,31,35,28
UKR,203,259,125,9,,4,6,2,0,3,11,7,16,12,59,68,68
URY,7,16,36,7,,5,,,,,,,1,0,0,3,*
USA,2,6,4,3,,1,,1,0,1,2,7,16,9,19,23,14
UZB,9,21,11,5,,3,1,3,3,7,4,5,5,4,4,8,5
VNM,158,185,101,55,7,18,12,14,15,14,53,55,50,102,338,507,881
VUT,2,1,,,,,,,0,1,0,,,0,0,0,0
WSM,1,8,4,4,,2,,1,0,1,0,0,6,0,7,11,5
,28,45,22,7,,7,1,8,7,13,29,57,160,457,544,643,963
,388,244,169,11,2584,5,1,7,0,34,38,19,57,78,94,52,48
YEM,2,3,4,1,,1,,1,1,0,0,3,8,10,18,14,26
ZAF,25,36,29,6,,5,2,3,7,19,11,10,16,21,33,57,63
ZMB,3,3,6,8,,,,,1,1,2,1,11,12,21,20,18
ZWE,22,29,40,23,,24,20,33,69,86,105,150,150,100,163,129,110
,9945,15187,29494,33564,38262,40710,2855,4720,5745,3654,3626,3966,701,613,89,451,1440
AFG,843,931,919,925,893,52,33,45,24,15,2,21,82,164,160,134,106
DZA,1,1,3,2,5,,,,,,,,3,0,,,*
IDN,2,,,,,,,,,,,,,,,,
IRN,42,144,184,186,233,45,26,9,8,8,2,14,17,5,16,13,8
IRQ,11,41,51,49,41,,9,11,1,4,0,1,0,12,11,3,10
JOR,1,,,,,,6,0,,,,,,,,,
LBY,1,,,,,,,,,,,,,,,,
PAK,3,9,,1,32,3,6,8,8,5,3,3,11,38,141,2,21
PSE,3,3,2,11,10,7,,,0,,0,,3,0,0,0,0
RUS,2462,5394,6941,7620,,,5,0,0,10,4,7,11,44,31,46,55
TUR,3,4,3,,1,,1,0,,,,,,1,1,,8
YEM,4,9,1,1,2,,,0,,,,,0,2,0,5,5
COD,5959,7964,8741,10532,10672,11239,7088,7460,5212,6246,11563,9429,5685,5699,2613,2332,2750
COG,4,2,2,2,2,,,,,,,,,,,,
ETH,3,5,5,5,5,6,,1,0,,,,1,1,1,1,*
RWA,22,21,24,28,28,8645,30,42,35,53,461,592,417,323,399,574,853
SLE,1,1,2,2,2,,,,,,,,,,,,
SOM,13,,1,1,1,,3,9,22,25,30,28,13,4,6,3,*
TZA,10,,,,,,,,,,,,,,1,0,0
UGA,1,1,1,1,1,8,16,19,0,1,2,2,0,0,,1,0
,46240,664,20027,18500,15883,153,4517,15247,14263,18233,18288,2311,1606,3257,677,18309,4295
CMR,10,2,1,11,35,50,11,4,3,1,1,6,0,0,,,*
COD,6,48,90,209,296,604,679,288,45,25,35,44,14,0,1,4,19
COG,5,10,22,38,51,130,99,36,13,7,1,1,4,0,,,
DZA,1,4,4,4,,,,,,,0,,,,,,
GIN,1,,1,4,4,6,,3,2,1,0,1,0,0,,,
LBR,1,,10,71,46,49,3,1,0,,0,,,,,,*
MAR,1,,,,,,,,,,,,,,,,
MLI,1,,,,1,1,,,,,,,3,6,3,3,0
NGA,6,50,2,29,100,177,176,41,12,16,0,20,4,0,,,5
OMN,1,,,1,1,1,,,,,,,,,,,
RWA,2,17,,11,8,11,23,19,4,4,8,0,2,0,,1,
SDN,1,1,67,25,29,32,1,2,3,3,4,4,0,,0,0,*
SLE,5,1,3,10,6,8,1,1,1,0,,,,,,,
SYR,1,,,,,,,,,,,,0,0,0,,*
TCD,3,19,34,77,87,113,91,71,49,29,6,9,5,0,0,,
TGO,21,30,39,131,154,171,156,26,63,26,35,21,0,,,1,
BDI,8,4,4,1,,,49,44,44,42,44,44,45,47,0,0,*
BEN,3,4,4,4,3,3,,,,,,,,,,,
,4,7,39,57,111,142,123,112,108,92,98,223,224,228,7,7,7
CMR,11,10,7,9,4,7,25,23,25,21,21,20,20,20,1,1,*
COD,23,18,43,30,22,23,73,73,69,50,52,48,50,50,1,1,*
COG,101,39,16,41,41,109,82,86,82,64,67,78,78,80,0,0,0
COM,1,,,,,1,,,,,,,,,,,
DZA,1,,1,1,1,2,3,3,3,3,3,3,3,3,0,,
GHA,6,1,,1,1,6,1,1,0,,,,,,0,,
GIN,1,14,2,15,15,15,6,7,5,5,4,5,5,5,0,,
IRQ,2,,,,,2,,,,,,,,,,,
MRT,1,1,2,2,1,,6,,,,,,,,0,,
NER,1,,2,2,1,2,,1,9,8,9,9,9,9,0,,
NGA,12,7,14,21,18,26,20,20,20,20,20,24,24,24,0,,
RWA,17,8,9,11,6,28,41,37,36,27,28,22,30,29,3,2,0
SDN,1,,1,1,1,2,1,1,1,2,2,2,1,1,0,0,0
TCD,31,35,53,48,40,32,84,78,81,81,85,81,84,83,11,13,7
TGO,90,47,63,79,70,169,98,83,89,72,70,72,72,72,5,3,*
MMR,2,20,21,8,9,52,67,30,2,0,0,0,2,8,9,0,*
AFG,428,623,357,332,425,390,395,380,377,388,402,347,0,584,2633,3241,7636
ARM,326,78,7,,33,5,21,29,27,21,26,125,0,100,20,24,14
AZE,18,17,17,16,18,17,18,17,18,17,17,1,0,,5,5,*
BDI,3,2,2,2,2,2,2,2,2,2,2,0,,,0,0,0
BHR,1,1,1,1,1,1,1,1,1,1,1,0,,,,,
BLR,1,,,,,1,2,1,1,1,1,0,,,0,0,0
,2,,,,,,,0,,0,0,1,0,45,54,19,9
CMR,4,2,2,1,1,1,1,1,1,1,1,0,0,34,34,18,9
COD,18,18,17,12,13,6,6,6,6,6,7,3,0,19,12,5,6
COL,1,1,1,1,1,1,1,1,1,1,1,0,,,,,
CUB,3,2,2,2,3,2,2,2,2,2,2,2,0,2,0,0,0
DZA,4,,,2,,,,0,2,18,0,49,0,116,100,35,33
EGY,1,,2,,2,1,1,,1,1,1,7,0,6,5,7,6
GEO,6,,,,,1,4,2,3,5,10,10,0,6,2,5,*
GIN,4,4,5,4,3,3,3,3,3,3,3,0,,5,5,4,*
GMB,2,2,2,2,2,2,2,2,2,2,2,0,0,3,13,6,*
IND,3,3,3,1,52,30,22,22,22,23,23,39,0,43,4,24,*
IRN,49,69,36,16,6,,,0,0,21,4,54,0,70,126,132,417
IRQ,225,521,522,219,154,154,189,336,359,340,559,366,0,239,567,3511,4092
JOR,2,,,,,,1,0,0,1,2,0,0,1,3,1,*
KAZ,1,,,,,,,0,0,0,0,2,0,,,,
LBN,27,7,6,3,3,7,14,8,12,11,10,8,0,13,16,23,11
LBY,1,,,,,,,0,,,,3,0,2,3,6,*
LKA,16,15,14,14,14,14,14,14,23,17,18,3,0,1,4,7,43
LTU,1,1,1,1,1,1,1,1,1,1,1,0,,,,,
MDA,4,4,9,4,6,6,6,6,5,6,3,4,0,5,0,,
MNG,2,2,2,2,2,2,2,3,3,3,5,2,0,2,0,,
MYS,1,1,1,1,1,1,1,1,1,1,1,0,,,,,
PAK,34,27,29,28,37,38,32,32,32,38,46,35,0,34,161,349,1458
PER,5,5,,,,1,1,1,1,1,1,0,,,,,
RUS,12,,,,1,5,11,13,15,18,18,17,0,15,5,12,23
SEN,1,1,1,1,2,1,1,1,1,1,1,0,,4,8,4,
SLE,4,20,10,9,9,9,9,9,9,9,8,0,,3,7,2,
SOM,2,,,4,,2,,0,5,11,11,37,0,65,31,17,*
,22,18,18,19,18,23,27,24,24,24,22,4,0,4,0,0,0
SYR,25,,,,2,,,0,4,10,30,70,0,2500,2510,1683,1961
TJK,2,2,2,2,2,2,,2,2,2,2,0,,,,,
TUN,1,,1,1,,1,,0,1,3,2,10,0,23,6,8,6
TUR,26,30,15,1,,,,1,2,5,0,12,0,10,6,3,10
UKR,1,,,,2,3,,,,7,8,2,0,0,36,75,78
,22,13,14,18,39,19,9,34,51,102,81,67,0,261,92,71,69
YEM,5,3,3,3,3,3,3,3,3,4,3,0,0,2,2,1,*
PAK,1,,,,,,,,,,,,,,0,0,0
ZWE,1,,,,,,,,,,,,,,,,
NGA,1,,,,,,,,,,0,,,,0,0,0
SLE,1,,,,,,,,,,,,,,,,
,1,,,,,,,,,,,,,,,,
AFG,1,,,,,,,,,,11,2,0,6,7,,*
BGD,1,,,,3,,,1,0,,,,,2,0,1,
DZA,2,,,,2,,,,,0,2,4,2,5,0,0,0
GEO,1,,,,,,,,,1,0,,,,,,
IRN,62,18,6,1,,,,0,,,3,1,1,2,0,,
IRQ,6,1,5,1,,7,2,2,0,2,3,2,0,1,2,3,6
PAK,3,10,,1,,1,,2,1,1,1,1,0,2,0,,*
ROU,1,2,3,4,,3,3,1,0,,0,,,,,,
TUR,2,,,,1,,,,0,1,0,,,0,,1,18
UKR,1,,1,1,3,2,2,1,0,,,,,,1,1,
AFG,235,213,176,162,35,29,9,3,29,61,55,34,41,39,20,5,7
ARM,1,4,3,5,,,,,0,,,,0,0,0,0,0
AZE,30,26,28,23,7,2,1,0,4,0,0,0,0,0,0,1,0
CHN,3,,,,,,,,,,,,,,,,
CMR,12,9,9,9,,,,,,,,0,,,,,
COD,1,1,1,1,,,,0,0,,0,0,1,3,0,,
COG,4,4,4,4,,,,,,0,,,,1,0,,
