code3,typeName,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
ALB,"Meat, chicken Emissions (CO2eq) gigagrams",4.4505,4.8215,4.7229,4.8798,4.7601,4.9561,4.6611,4.1086,4.4451,6.1746,6.1808,6.1232,5.8017,6.1769,6.8292,7.2512,7.6349,7.2896,7.2896,7.6425,7.6732,7.6732,8.4406,8.172,8.3485,7.6579,11.2029,10.5852,11.6249,9.4342,5.7703,3.0386,3.2458,2.4938,3.1614,3.4069,4.8265,5.1372,5.4096,5.3214,4.5464,5.1641,5.2024,3.1345,4.4927,4.4965,4.65,4.6039,4.3661,3.2419,7.7039,18.8531,16.5742,18.6088
ALB,"Eggs, hen, in shell Emissions (CO2eq) gigagrams",4.1108,4.1108,4.1108,4.1108,4.2087,4.2087,4.7959,5.1875,5.579,5.4811,5.4811,5.6768,6.7535,7.7322,9.9834,10.8643,11.8431,12.7239,13.7027,14.6815,15.6602,17.6178,17.6178,19.2817,19.5753,22.5116,22.5116,22.5116,25.4479,27.4054,21.5328,15.6602,15.6602,17.6178,17.6178,19.5753,20.5541,24.4691,25.4479,26.4266,30.3417,30.3417,33.278,36.2143,34.2568,33.278,34.2568,37.1931,39.1506,43.0656,44.5338,44.8274,45.1015,50.6381
ALB,"Meat, pig Emissions (CO2eq) gigagrams",34.086,33.4848,28.2307,29.1456,38.3206,36.7522,35.9157,30.1912,29.6945,30.4264,30.0082,30.5049,31.2368,31.9425,32.9881,34.5565,36.6215,38.9218,41.9801,45.5612,48.6196,53.4815,52.2791,52.2791,53.3247,54.6317,55.9386,51.2335,47.3126,57.4286,38.5558,23.604,24.2575,25.6429,26.1396,25.6168,25.3554,21.6958,21.173,26.9237,27.7079,29.7991,34.5042,37.4057,38.4251,39.7321,38.4251,42.0847,41.9017,42.8689,42.6075,41.5143,39.7321,45.079
DZA,Cereals excluding rice Emissions (CO2eq) gigagrams,189.1704,295.8027,293.5352,241.0937,259.7179,148.5094,240.686,291.869,272.334,295.6048,262.2917,329.6682,265.7364,246.1143,333.8768,316.7781,210.8815,231.202,246.7396,312.5282,256.7918,223.0325,190.7815,219.8344,335.5294,287.5412,260.6937,151.9512,253.2769,211.3711,402.5858,378.6318,190.2065,127.3839,266.3003,498.9413,113.9054,379.6248,229.2621,116.796,300.339,224.3778,428.9184,414.8938,350.7177,397.9586,376.5688,175.1357,495.8017,401.971,373.6123,489.9469,458.4949,351.5881
DZA,"Rice, paddy Emissions (CO2eq) gigagrams",18.3687,21.2966,20.059,17.5832,19.6032,21.9693,19.1094,23.8583,29.3184,33.7486,44.2494,54.3666,52.3319,45.2261,27.1826,33.1767,34.277,35.5868,38.0305,52.166,36.6443,31.3551,37.7697,54.5449,60.7117,69.3356,50.1721,34.3114,30.5933,40.5728,27.6474,31.063,47.321,38.6485,15.2269,11.9617,22.4677,26.9876,28.9905,27.3489,27.7925,17.7389,11.1314,62.9647,3.556,27.1384,22.9254,14.9505,29.2501,42.6928,38.4409,45.3716,27.4759,158.4223
DZA,"Meat, cattle Emissions (CO2eq) gigagrams",394.7619,393.6275,297.2058,274.5183,338.0432,424.2556,520.6773,553.5741,566.0522,590.6681,623.3381,557.5444,535.5262,544.6579,626.6618,617.9158,726.1803,797.3282,927.4749,944.9329,948.7897,1010.7265,1217.1824,968.6413,982.3672,900.318,936.9923,912.7961,856.8261,831.1552,805.6092,727.7571,710.0212,622.9183,574.6961,539.8936,572.2913,654.5333,884.5445,788.6832,686.3264,791.7925,757.2452,692.7617,721.5748,862.4072,904.8498,892.9865,983.1612,944.1388,963.5933,995.7902,1008.9739,1083.0553
DZA,"Milk, whole fresh cow Emissions (CO2eq) gigagrams",432.4012,432.4012,432.4012,475.1481,499.8098,535.9802,562.286,580.3712,611.6093,598.9496,605.8549,655.1782,657.6444,706.9677,739.85,772.7322,805.6144,838.4966,838.4966,871.3788,887.82,1002.9077,947.008,904.2611,904.2611,909.1934,970.0255,1035.79,1068.6722,1085.1133,970.0255,1150.8777,1130.9922,1183.7599,1249.5244,1236.3715,1234.5794,1216.6422,1315.1047,1479.6999,1657.2639,1436.953,1468.1912,1649.0434,1561.9055,1393.6143,1374.7152,1403.2866,1397.4944,1505.0192,1546.5988,1588.3707,1676.9933,1800.1223
DZA,"Meat, goat Emissions (CO2eq) gigagrams",159.729,130.3954,108.3417,137.4612,141.7434,132.9648,197.3488,217.2936,217.7496,237.8335,225.0381,208.3243,198.4708,202.2949,158.2452,120.4091,175.901,201.7146,239.3173,223.3744,224.5884,243.4476,263.7884,228.8878,226.5326,204.4788,237.6665,163.0949,251.8366,223.1046,240.8782,262.3174,253.3632,223.49,242.4605,255.059,300.0807,341.8501,295.8327,284.0716,286.7029,298.8282,304.1746,323.3977,334.6387,343.2782,429.6691,342.7502,377.2945,384.2157,392.2718,414.4465,477.8271,514.055
DZA,"Milk, whole fresh goat Emissions (CO2eq) gigagrams",256.9368,214.114,181.9969,214.114,235.5254,246.2311,299.7595,321.1709,329.7355,314.7475,310.037,307.0394,316.8887,342.5823,327.5944,338.3001,342.5823,353.288,363.9937,359.7115,363.9937,368.276,370.4172,372.5583,349.0058,333.8037,312.1782,314.7475,262.8463,306.183,291.195,331.8766,321.1709,321.1709,352.7313,364.7517,368.276,355.4292,359.7115,363.9937,383.3454,403.5813,407.6987,415.4196,434.0304,460.6319,392.0703,460.4684,471.0507,533.7551,552.1892,569.3055,573.6223,584.3152
DZA,"Meat, sheep Emissions (CO2eq) gigagrams",288.5019,225.5911,134.6985,189.3113,468.1642,446.5507,700.3165,768.7465,785.0763,800.665,842.1803,902.5573,821.1554,788.6599,982.7492,860.025,1022.52,1112.1775,1355.2235,1557.3311,1609.2614,1661.5391,1601.716,1864.9377,1806.2725,1992.3031,1861.8501,1916.0383,2005.018,2045.0382,1922.8697,2019.4744,2251.0169,2159.777,2103.7594,2275.0928,2351.8208,2448.6841,2456.3144,2241.6166,2161.1174,2205.2792,2219.7834,2237.2499,2047.3211,2145.0894,2111.4831,1740.9541,1776.2799,1887.6719,1956.9187,2040.393,2120.6494,2110.6043
DZA,"Milk, whole fresh sheep Emissions (CO2eq) gigagrams",675.4224,636.8268,598.2313,578.9335,636.8268,656.1246,675.4224,685.0713,694.7202,702.2463,771.9113,800.472,810.5069,887.698,903.1362,941.7318,964.8891,984.1869,1003.4847,1022.7825,1042.0803,1061.3781,1196.4625,1157.867,1215.7603,1062.5359,1254.3559,1254.3559,1336.5644,1370.1426,1336.7574,1400.6331,1350.8448,1283.3026,1235.0581,1114.6399,1003.4847,1015.0634,1015.0634,1157.867,1177.1648,1188.7647,1157.867,1292.9515,1601.716,1640.3116,1777.9638,2108.2106,2354.3295,2525.4937,2672.4901,2821.5105,3007.3466,3255.6719
DZA,"Milk, whole fresh camel Emissions (CO2eq) gigagrams",46.7183,46.7183,34.0917,40.405,39.1423,39.1423,45.4556,44.193,47.9809,50.5062,44.193,45.4556,46.7183,47.3496,45.4556,44.193,44.193,45.0768,45.3293,45.5819,45.7081,45.8344,45.9607,36.3645,38.6373,35.1018,38.7635,33.0816,35.1018,39.3949,39.5211,40.2366,41.3027,41.6272,42.299,45.4556,47.9809,49.2436,69.4461,73.234,77.022,77.1345,78.916,85.8606,84.5979,90.9112,92.1739,93.184,94.6992,98.4871,99.7498,107.3257,108.5884,113.1999
DZA,"Meat, chicken Emissions (CO2eq) gigagrams",22.5622,24.3482,25.7046,28.3949,31.0625,33.7302,35.9367,37.7317,39.9789,41.7785,44.3828,47.2992,49.153,49.1078,50.0121,51.0068,52.4989,53.8056,54.5336,79.1259,94.951,126.6014,158.2517,203.4665,199.3972,208.8923,213.8659,221.5524,221.5524,217.0309,212.4552,221.5524,227.8825,280.3316,366.2397,293.1455,327.8071,483.7981,406.933,438.5833,438.5833,461.1907,483.7981,479.2766,479.2766,479.2766,477.0159,479.2766,477.0159,480.7732,480.8682,476.419,470.2336,470.2336
DZA,"Eggs, hen, in shell Emissions (CO2eq) gigagrams",19.6701,21.0098,22.3168,23.003,24.3753,25.0941,26.4795,27.8061,28.4792,29.7993,30.0607,30.0607,30.6488,31.3677,32.6746,34.5044,34.9619,35.9421,36.9224,49.012,58.8144,78.4192,98.0239,98.0239,123.5102,129.3916,135.273,137.2335,137.2335,169.9082,183.0565,176.4431,180.3641,176.4431,137.2335,84.9541,98.0239,117.6287,98.0239,84.9541,84.9541,117.6287,117.6287,124.1637,124.1637,124.1637,127.4311,124.1637,127.4311,128.5355,134.9332,151.166,169.9082,169.9082
DZA,"Meat, pig Emissions (CO2eq) gigagrams",0.8288,0.8288,0.8288,1.0498,1.105,0.8288,0.5525,0.5525,1.105,1.105,1.105,1.105,1.1326,1.105,1.105,1.1326,1.1326,1.1603,1.1879,1.2431,1.2708,1.2708,1.2984,1.326,1.3536,1.3813,1.4089,1.4365,1.4365,1.4641,1.4918,1.5194,1.5194,1.5746,1.5746,1.5746,1.5746,1.5746,1.5746,1.5746,1.5746,1.5746,1.5746,1.5746,1.5746,1.5746,1.5746,1.5746,1.5746,1.5194,1.4365,1.3813,1.3813,1.3813
ASM,"Meat, cattle Emissions (CO2eq) gigagrams",0.5631,0.5488,0.5285,0.5305,0.4309,0.3923,0.3334,0.2338,0.4309,0.433,0.3415,0.2927,0.2846,0.2765,0.2683,0.25,0.3537,0.2541,0.1301,0.1321,0.1382,0.1504,0.1626,0.1626,0.1626,0.1626,0.1626,0.1626,0.3374,0.1626,0.1626,0.1626,0.1667,0.1647,0.1626,0.1606,0.1586,0.1687,0.1687,0.1687,0.1545,0.1525,0.1504,0.1687,0.1687,0.1626,0.1626,0.1606,0.1586,0.1586,0.1586,0.1586,0.1586,0.1586
ASM,"Milk, whole fresh cow Emissions (CO2eq) gigagrams",0.1339,0.1339,0.1339,0.1306,0.1272,0.1239,0.1205,0.1172,0.1138,0.1105,0.1071,0.1038,0.1004,0.0971,0.0937,0.0904,0.0871,0.0837,0.0804,0.077,0.0737,0.0703,0.067,0.067,0.067,0.067,0.067,0.067,0.067,0.067,0.067,0.067,0.0703,0.0737,0.077,0.0804,0.0837,0.067,0.067,0.067,0.0904,0.0937,0.0971,0.067,0.067,0.067,0.1004,0.1038,0.1071,0.1071,0.1071,0.1071,0.1071,0.1071
ASM,"Meat, chicken Emissions (CO2eq) gigagrams",0.2876,0.2895,0.2893,0.2892,0.289,0.2416,0.2033,0.163,0.1361,0.1342,0.1381,0.14,0.1438,0.1227,0.1112,0.1026,0.0949,0.0828,0.0709,0.0591,0.0625,0.0652,0.0729,0.0767,0.0805,0.0844,0.0882,0.092,0.0959,0.0997,0.1035,0.1112,0.1112,0.115,0.1189,0.115,0.115,0.115,0.115,0.1189,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.1112,0.115,0.115,0.115,0.115,0.115,0.115
ASM,"Eggs, hen, in shell Emissions (CO2eq) gigagrams",0.0276,0.0248,0.0251,0.0254,0.0256,0.0386,0.0386,0.0413,0.0358,0.0386,0.0386,0.0413,0.0413,0.0441,0.0441,0.0455,0.0455,0.0463,0.0468,0.0474,0.0479,0.0496,0.0441,0.0441,0.0441,0.0441,0.0441,0.0441,0.0441,0.0441,0.0441,0.0386,0.0441,0.0441,0.0386,0.0441,0.0441,0.0441,0.0441,0.0386,0.0441,0.0441,0.0441,0.0441,0.0441,0.0551,0.0551,0.0606,0.0551,0.0551,0.0551,0.0551,0.0551,0.0551
ASM,"Meat, pig Emissions (CO2eq) gigagrams",3.0865,2.7724,3.9843,5.228,5.7825,5.5448,4.0398,3.7863,3.7863,3.7863,3.8022,3.822,3.8418,3.8814,3.921,3.9606,4.0002,4.0398,4.0794,4.0873,4.1586,4.3566,4.5547,4.7527,4.8715,4.9507,5.0695,5.1488,5.1499,4.1586,4.1586,4.1586,4.1586,4.1586,4.1586,4.1586,4.1586,4.1586,4.1586,4.1586,4.1586,4.1586,4.1586,4.1586,4.1586,4.1586,4.1586,4.1586,4.1586,4.1586,4.1586,4.1586,4.1586,4.1586
AGO,Cereals excluding rice Emissions (CO2eq) gigagrams,83.0535,83.3992,81.0292,84.7334,86.9007,87.6727,95.6032,99.0134,112.1109,99.6613,120.5118,121.4605,121.0224,111.6518,97.046,93.3168,131.2323,122.2426,114.6836,117.4902,94.9773,88.1891,92.8303,91.6611,124.691,118.2354,121.0758,129.4267,137.7072,90.584,104.576,119.7349,132.1028,105.8958,84.1995,92.6041,93.6703,109.1954,105.5345,104.6831,111.0509,135.6215,131.3161,179.2418,177.8398,185.1407,195.8867,164.8526,248.9104,282.609,313.6541,187.7853,361.4802,331.5713
AGO,"Rice, paddy Emissions (CO2eq) gigagrams",152.4744,115.9745,122.104,122.3568,141.4889,135.6898,137.6142,135.5818,93.3588,154.5837,138.7271,138.383,137.9178,94.017,92.3483,122.0795,127.0776,95.3805,89.0031,76.7539,68.7704,68.0269,56.2733,56.2382,41.7385,38.5191,19.856,20.3604,28.0774,20.2124,25.2833,28.8859,31.1965,146.6872,80.1866,49.77,37.6033,31.5977,32.6851,26.7625,23.755,23.7323,48.7326,71.3179,76.7627,49.6716,56.9272,103.6846,148.1062,152.3095,165.0333,180.2638,191.6787,191.2755
AGO,"Meat, cattle Emissions (CO2eq) gigagrams",1253.4824,1361.2478,1429.3102,1588.1225,1758.2784,1871.7158,2089.8818,2081.8266,2307.3151,2548.003,2787.1549,2858.6204,2909.6672,2960.714,3011.7608,2807.5736,2858.6204,2960.714,3062.8076,3164.9012,3215.948,3266.9948,3318.0416,3369.0884,3420.1352,3471.182,3369.0884,3266.9948,3164.9012,3155.5755,3215.948,3266.9948,3164.9012,3062.8076,3031.0962,3379.2977,3629.9942,3979.3812,3998.1074,4126.8497,4077.872,4001.2541,3773.2315,3766.6862,4096.7026,4196.8972,4297.1293,4408.7925,4604.5399,4710.5278,4822.5154,4936.1966,5048.6402,5158.6646
AGO,"Milk, whole fresh cow Emissions (CO2eq) gigagrams",361.7044,378.1455,394.5866,411.0278,411.0278,411.0278,417.6042,427.4689,437.3335,440.6218,443.91,460.3511,468.5716,476.7922,485.0128,452.1305,460.3511,476.7922,493.2333,509.6744,517.895,526.1155,534.3361,542.5566,550.7772,558.9978,542.5566,526.1155,509.6744,523.1907,517.895,526.1155,509.6744,493.2333,539.1944,542.5566,585.3035,641.2033,617.3505,664.2209,666.1543,612.7898,778.8647,591.88,664.2209,667.5091,674.0855,667.5091,542.5566,551.2704,551.2869,552.4213,558.9978,571.1799
