code3,typeName,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
ARG,Inorganics,,,,1178,2242,2578,1755,2923,2062,,,,,,,,,,,,,,,,34
ARG,Dithiocarbamates,,,,2676,2087,2272,2656,3624,2727,,,,,,,,,,,,,,,,727.5
ARG,Benzimidazoles,,,,228,362,386,285,497,462,,,,,,,,,,,,,,,,1033.8
ARG,"Triazoles, Diazoles",,,,111,277,340,614,770,301,,,,,,,,,,,,,,,,1174.3
ARG,"Diazines, Morpholines",,,,23,6,5,,,6,,,,,,,,,,,,,,,,
ARG,Other Fungicides,,,,583,667,716,797,1250,483,,,,,,,,,,,,,,,,986.1
ARG,Plant Growth Regulators,,,,319,293,491,844,918,270,,,,,,,,270,535,500,381,708,1055,,,33
ARG,Anticoagulants,,,,1,1,1,3,3,3,,,,,,,,,,,,,,,,
ARG,Other Rodenticides,,,,1,1,2,,,,,,,,,,,,,,,,,,,50.4
ARG,Other Pesticides nes,,,,,,,,,,,,,,,,,5697,4213,4583,4288,8874,9347,,,
ARG,Pesticides,,,,26156,30195,37842,54595,77691,62397,,,,,,,,177641,221705,237027,165954,282725,266054,,,207706
ARG,Insecticides,,,,3503,4883,6188,9456,12535,7964,,,,,,,,18684,23659,18695,15857,26519,23240,,,7919.3
ARG,Mineral Oils,,,,,,,,,764,,,,,,,,,,,,,,,,1490.3
ARG,Herbicides,,,,17533,19376,24863,38185,55171,47355,,,,,,,,143635,180337,199376,135077,227185,212337,,,194257.3
ARG,Fungicides&Bactericides,,,,4799,5641,6297,6107,9064,6041,,,,,,,,9348,12955,13866,10341,19437,20073,,,3955.7
ARG,Plant Growth Regulators,,,,319,293,491,844,918,270,,,,,,,,270,535,500,381,708,1055,,,33
ARG,Rodenticides,,,,2,2,3,3,3,3,,,,,,,,7,6,7,10,2,2,,,50.4
ARG,Other Pesticides nes,,,,,,,,,,,,,,,,,5697,4213,4583,4288,8874,9347,,,
ARM,Organo-Phosphates,,,,1,9,8,14,,,,,,,16.84,20.68,32.46,25.66,47.76,58.57,35.52,36.86,,,,
ARM,Carbamates Insecticides,,,,,,,,,,,,,,0,0.03,,0,0.1,0.4,0.25,,,,,
ARM,Pyrethroids,,,,2,1,3,4,,,,,,,2.78,5.18,5.6,11.79,11.01,9.17,5.63,8,,,,
ARM,Botanic.Produc&Biologic.,,,,,,,,,,,,,,0.01,0.01,0.02,0.19,0.11,0.03,0.13,0.17,,,,
ARM,Other Insecticides,,,,1,1,2,2,,,,,,,1.26,4.78,3.19,5.45,4.82,4.85,5.14,6.92,,,,
ARM,Mineral Oils,,,,,,,,,,,,,,0.38,,,,,2.29,,,,,,
ARM,Phenoxy Hormone Products,,,,2,3,,,,,,,,,11.43,13.22,32.52,14.01,5.13,2.66,16.44,14.4,,,,
ARM,Triazines,,,,1,2,2,3,,,,,,,0.35,2.51,4.45,5.45,8.94,8.79,17.04,15.64,,,,
ARM,Amides,,,,0,1,,,,,,,,,,,,,,,,1.81,,,,
ARM,Carbamates Herbicides,,,,,,,,,,,,,,0.05,,,,,,,,,,,
ARM,Dinitroanilines,,,,,,,,,,,,,,0.77,1.35,0.13,1.06,,2.96,1.72,1.97,,,,
ARM,Sulfonyl Ureas,,,,,,,,,,,,,,,0.3,1.39,0.45,0.45,0.75,0.3,,,,,
ARM,Other Herbicides,,,,,,0,1,,,,,,,0.96,1.06,3.45,7.17,6.54,17.68,13.2,22.99,,,,
ARM,Inorganics,,,,,,,,,,,,,,23.75,35.14,74.06,21.83,63.48,33.56,43.55,38.99,,,,
ARM,Dithiocarbamates,,,,,1,,1,,,,,,,13.29,25.4,34.47,89.06,56.03,34.23,48.24,78.73,,,,
ARM,Benzimidazoles,,,,,,0.3,1,,,,,,,0.51,0.45,,0.07,1.68,2.8,,,,,,
ARM,"Triazoles, Diazoles",,,,,1,2.1,2,,,,,,,3.61,5.54,3.29,14.02,10.71,13.5,2.02,5.77,,,,
ARM,"Diazines, Morpholines",,,,0,,,,,,,,,,,,,,,,,,,,,
ARM,Other Fungicides,,,,0,0,0.5,1,,,,,,,3.3,4.37,8.92,12.06,8.27,8.78,8.57,13.29,,,,
ARM,Dithiocarbamates-SeedTrF,,,,,,,,,,,,,,17.06,55.56,,0.07,,,,,,,,
ARM,Triazoles diazoles-SdTrF,,,,,,,,,,,,,,0.12,0.11,0.87,0.04,0.04,0.09,0.05,0.02,,,,
ARM,Others-SeedTreatFung,,,,,,,,,,,,,,1.63,18.77,,0.14,,,,,,,,
ARM,Others-SeedTreat Ins,,,,,,,,,,,,,,0.06,0.52,0.49,0.63,0.64,0.91,0.56,,,,,
ARM,Plant Growth Regulators,,,,,,,,,,,,,,,,,,,1.78,,,,,,
ARM,Other Rodenticides,,,,,4,6,3,,,,,,,0.07,9.79,15.2,18.4,16,14.4,0,33.16,,,,
ARM,Pesticides,,,,8,23,23.9,32,,,,,,,98.23,204.77,220.51,227.55,241.71,218.2,198.36,278.72,934.9,1050.3,720.1,
ARM,Insecticides,,,,4,11,13,20,,,,,,,20.89,30.68,41.27,43.09,63.8,73.02,46.67,51.95,376.9,274.1,269.2,
ARM,Mineral Oils,,,,,,,,,,,,,,0.38,,,,,2.29,,,,,,
ARM,Herbicides,,,,3,6,2,4,,,,,,,13.56,18.44,41.94,28.14,21.06,32.84,48.7,56.81,168.2,208.7,161.8,
ARM,Fungicides&Bactericides,,,,1,2,2.9,5,,,,,,,44.46,70.9,120.74,137.04,140.17,92.87,102.38,136.78,354.7,386.2,279.4,
ARM,Seed Treatm Fungicides,,,,,,,,,,,,,,18.81,74.44,0.87,0.25,0.04,0.09,0.05,0.02,,,,
ARM,Seed Treatm Insecticides,,,,,,,,,,,,,,0.06,0.52,0.49,0.63,0.64,0.91,0.56,,,,,
ARM,Plant Growth Regulators,,,,,,,,,,,,,,,,,,,1.78,,,,,,
